mu,tau,k,mechanism,strength,outcome,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,pet_t1,tau_hat
0.0,0.15,10,step,moderate,logor,1,copas,0.0,0.0951668726725319,-0.2065463582830327,0.3968801036280967,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,henmi_copas,0.0,0.0996474003565121,-0.2958947994287382,0.4951896001417625,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,vevea_hedges,0.0,0.1437371975610722,-0.1246669174639953,0.4406428757177179,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,p_curve,0.0,,,,False,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,p_uniform_star,0.0,0.4135511212149424,-0.7894528415497221,1.6165550839796068,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,ubcma,0.0,0.2656281305199727,-0.1669966083647967,0.7318057043992583,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_solo,0.0,0.0891351086164826,-2.7229180291327757,2.901188246365741,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_ens,0.0,0.2074105450522689,-0.9991630150871164,1.4139841051916544,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_fast,0.0,0.2602756797454955,-0.8769942068855099,1.3975455663765008,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_ens_calib,0.0,0.2074105450522689,-1.433730361372557,1.8485514514770949,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_petgate,0.0,0.1026120752868832,-0.4672999636680036,0.67252411424177,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,adaptshrink_auto,0.0,0.1026120752868832,-0.4672999636680036,0.67252411424177,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,2,dl_hksj,0.0,0.1232059135095664,-0.238780900739134,0.485192727758267,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,reml_hksj,0.0,0.1232059142598826,-0.2387809027042228,0.4851927312239881,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,trim_and_fill,0.0,-0.1928748372648852,-0.4047669702049265,0.0190172956751559,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,pet_peese,0.0,-1.1961297970472953,-2.8278940152167618,0.4356344211221712,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,copas,0.0,0.1232054157446247,-0.1667441876525807,0.41315501914183,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,henmi_copas,0.0,0.1232059135095664,-0.1491388538933019,0.3955506809124349,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,vevea_hedges,0.0,0.0182354184165817,-0.2994581011196616,0.3610905567524717,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,p_curve,0.0,-0.4614953243687657,,,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,p_uniform_star,0.0,0.0686966408842932,-0.247203756728586,0.4106510043628589,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,ubcma,0.0,0.1892544104046222,-0.2423916783705957,0.6381464782523363,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,adaptshrink_solo,0.0,-0.9128545136377938,-3.2397070837457647,1.4139980564701768,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,adaptshrink_ens,0.0,-0.1780279310774572,-0.8567041177492195,0.5006482555943049,True,2.1581087097403686,0.0
0.0,0.15,10,step,moderate,logor,2,adaptshrink_fast,0.0,0.0341048720948213,-0.6453741657343536,0.7135839099239961,True,2.1581087097403686,0.0
