mu,tau,k,mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
0.0,0.0,10,none,strong,78,adaptshrink_ens_infl,0.0,-0.0814626475580432,-0.3824005920754653,0.21947529695937887,True
0.0,0.0,10,none,strong,79,adaptshrink_ens_infl,0.0,-0.0281579486670841,-0.19030053717515028,0.13398463984098208,True
0.0,0.0,40,step,strong,0,adaptshrink_ens_infl,0.0,0.0989461206124011,-0.11190565135427549,0.3097978925790777,True
0.0,0.0,40,step,strong,1,adaptshrink_ens_infl,0.0,0.0047664072004564,-0.25750927785357103,0.26704209225448383,True
0.0,0.0,40,step,strong,2,adaptshrink_ens_infl,0.0,-0.0049452075798824,-0.17484099915035925,0.16495058399059445,True
0.0,0.0,40,step,strong,3,adaptshrink_ens_infl,0.0,0.1054782629496201,-0.5587818349793552,0.7697383608785955,True
0.0,0.0,40,step,strong,4,adaptshrink_ens_infl,0.0,0.0772911906171412,-0.05555338057127977,0.21013576180556215,True
0.0,0.0,40,step,strong,5,adaptshrink_ens_infl,0.0,0.0750057275991584,-0.31452965831132007,0.4645411135096369,True
0.0,0.0,40,step,strong,6,adaptshrink_ens_infl,0.0,0.2374299831757478,-0.055585467052486265,0.5304454334039819,True
0.0,0.0,40,step,strong,7,adaptshrink_ens_infl,0.0,-0.0516593351712763,-0.23123708133097615,0.12791841098842355,True
0.0,0.0,40,step,strong,8,adaptshrink_ens_infl,0.0,0.1418706598428933,-0.01812425599556433,0.3018655756813509,True
0.0,0.0,40,step,strong,9,adaptshrink_ens_infl,0.0,0.094341085934344,-0.08271762493709016,0.27139979680577814,True
0.0,0.0,40,step,strong,10,adaptshrink_ens_infl,0.0,-0.0953786322858368,-0.4464388377572908,0.2556815731856172,True
0.0,0.0,40,step,strong,11,adaptshrink_ens_infl,0.0,-0.0396150156785959,-0.24023090553752188,0.16100087418033007,True
0.0,0.0,40,step,strong,12,adaptshrink_ens_infl,0.0,0.2056580361091453,-0.04940565403700664,0.4607217262552972,True
0.0,0.0,40,step,strong,13,adaptshrink_ens_infl,0.0,0.168402768505317,-0.08184153682172268,0.41864707383235666,True
0.0,0.0,40,step,strong,14,adaptshrink_ens_infl,0.0,0.1187372734088391,-0.039160689185597675,0.2766352360032759,True
0.0,0.0,40,step,strong,15,adaptshrink_ens_infl,0.0,0.0901027446759014,-0.14926949581542256,0.3294749851672254,True
