mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.5,0.0,10,copas,strong,adaptshrink_fast,0.887,True,12,1,9,2,"adaptshrink_ens,trim_and_fill",False
0.5,0.0,10,none,strong,adaptshrink_fast,0.925,True,12,1,11,0,-,True
0.5,0.0,10,step,strong,adaptshrink_fast,0.875,False,12,2,9,1,ubcma,False
0.5,0.0,40,copas,strong,adaptshrink_fast,0.362,False,12,0,9,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.5,0.0,40,none,strong,adaptshrink_fast,0.5,False,12,2,8,2,"adaptshrink_ens,ubcma",False
0.5,0.0,40,step,strong,adaptshrink_fast,0.375,False,12,4,6,2,"adaptshrink_ens,ubcma",False
0.5,0.1,10,copas,strong,adaptshrink_fast,0.85,False,12,1,11,0,-,False
0.5,0.1,10,none,strong,adaptshrink_fast,0.863,False,12,3,6,3,"copas,dl_hksj,reml_hksj",False
0.5,0.1,10,step,strong,adaptshrink_fast,0.925,True,12,1,11,0,-,True
0.5,0.1,40,copas,strong,adaptshrink_fast,0.5,False,12,0,10,2,"adaptshrink_ens,ubcma",False
0.5,0.1,40,none,strong,adaptshrink_fast,0.613,False,12,3,7,2,"adaptshrink_ens,ubcma",False
0.5,0.1,40,step,strong,adaptshrink_fast,0.7,False,12,4,8,0,-,False
0.5,0.3,10,copas,strong,adaptshrink_fast,0.9,True,11,1,8,2,"copas,dl_hksj",False
0.5,0.3,10,none,strong,adaptshrink_fast,0.85,False,12,4,5,3,"copas,dl_hksj,reml_hksj",False
0.5,0.3,10,step,strong,adaptshrink_fast,0.887,True,11,2,9,0,-,True
0.5,0.3,40,copas,strong,adaptshrink_fast,0.863,False,12,5,7,0,-,False
0.5,0.3,40,none,strong,adaptshrink_fast,0.9,True,12,4,8,0,-,True
0.5,0.3,40,step,strong,adaptshrink_fast,0.738,False,12,6,6,0,-,False
