mu,tau,k,mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
0.0,0.0,10,none,strong,5,dl_hksj,0.0,0.1286405606339146,0.0688925078746346,0.1883886133931946,True
0.0,0.0,10,none,strong,5,reml_hksj,0.0,0.1286405598707314,0.068892490438987,0.1883886293024759,True
0.0,0.0,10,none,strong,5,trim_and_fill,0.0,0.0669003414178046,0.0256678099597214,0.1081328728758878,True
0.0,0.0,10,none,strong,5,pet_peese,0.0,0.1266917709232491,0.0618625670102715,0.1915209748362267,True
0.0,0.0,10,none,strong,5,copas,0.0,0.1286405551633027,0.0768738905781667,0.1804072197484387,True
0.0,0.0,10,none,strong,5,henmi_copas,0.0,0.1286405606339146,0.0807985951544974,0.1764825261133317,True
0.0,0.0,10,none,strong,5,vevea_hedges,0.0,0.1640569490876164,0.0904223468678224,0.2466738262579438,True
0.0,0.0,10,none,strong,5,p_curve,0.0,0.1623147329857483,0.0454312875701177,0.247187386393876,True
0.0,0.0,10,none,strong,5,p_uniform_star,0.0,0.1621261860815277,0.0823200323941031,,False
0.0,0.0,10,none,strong,5,ubcma,0.0,0.1002105881821757,-0.0844346963662182,0.2900144628349426,True
0.0,0.0,10,none,strong,5,adaptshrink_solo,0.0,0.1286405606339146,0.0701452694726105,0.1871358517952186,True
0.0,0.0,10,none,strong,5,adaptshrink_ens,0.0,0.0950912893593305,-0.0530425839748942,0.2432251626935554,True
0.0,0.0,10,none,strong,5,adaptshrink_fast,0.0,0.1426401680172808,-0.2572440870897763,0.5425244231243379,True
0.0,0.0,10,none,strong,6,dl_hksj,0.0,-0.117170563840759,-0.2441064817106898,0.0097653540291718,True
0.0,0.0,10,none,strong,6,reml_hksj,0.0,-0.1171705652884775,-0.244106488001434,0.0097653574244789,True
0.0,0.0,10,none,strong,6,trim_and_fill,0.0,-0.3479948533174264,-0.4291468704198289,-0.2668428362150239,True
0.0,0.0,10,none,strong,6,pet_peese,0.0,0.0315265476202078,-0.524191842244013,0.5872449374844286,True
0.0,0.0,10,none,strong,6,copas,0.0,-0.1171677754460031,-0.2271467986022738,-0.0071887522897323,True
0.0,0.0,10,none,strong,6,henmi_copas,0.0,-0.117170563840759,-0.2208013309068848,-0.0135397967746331,True
0.0,0.0,10,none,strong,6,vevea_hedges,0.0,-0.1148037122969079,-0.225982471172407,-0.0016551101928871,True
0.0,0.0,10,none,strong,6,p_curve,0.0,,,,False
0.0,0.0,10,none,strong,6,p_uniform_star,0.0,-0.1148037123470829,-0.2305488544750478,,False
0.0,0.0,10,none,strong,6,ubcma,0.0,-0.1215049047634233,-0.2955216370757075,0.0410728217247509,True
0.0,0.0,10,none,strong,6,adaptshrink_solo,0.0,-0.117170563840759,-0.325370725679559,0.091029597998041,True
0.0,0.0,10,none,strong,6,adaptshrink_ens,0.0,-0.1385548960250001,-0.6160228091284745,0.3389130170784743,True
0.0,0.0,10,none,strong,6,adaptshrink_fast,0.0,-0.1014254196808825,-1.0136349012140675,0.8107840618523025,True
0.0,0.0,10,none,strong,7,dl_hksj,0.0,0.0087804723698709,-0.0991841474267528,0.1167450921664946,True
0.0,0.0,10,none,strong,7,reml_hksj,0.0,0.0087804738315967,-0.0991841524255577,0.1167451000887511,True
0.0,0.0,10,none,strong,7,trim_and_fill,0.0,-0.1601048268553448,-0.2302687712593474,-0.0899408824513421,True
0.0,0.0,10,none,strong,7,pet_peese,0.0,-0.1507086895391075,-0.4919299115145066,0.1905125324362916,True
0.0,0.0,10,none,strong,7,copas,0.0,0.0087805121377361,-0.08476168779591,0.1023227120713822,True
0.0,0.0,10,none,strong,7,henmi_copas,0.0,0.0087804723698709,-0.0789341242521482,0.09649506899189,True
0.0,0.0,10,none,strong,7,vevea_hedges,0.0,0.0202364331532097,-0.0787399703428255,0.1259561373416831,True
0.0,0.0,10,none,strong,7,p_curve,0.0,,,,False
0.0,0.0,10,none,strong,7,p_uniform_star,0.0,0.0202364344851689,-0.0801376362119753,,False
0.0,0.0,10,none,strong,7,ubcma,0.0,-0.0598197131296218,-0.2163928364112775,0.0980351250216884,True
0.0,0.0,10,none,strong,7,adaptshrink_solo,0.0,0.0087804723698709,-0.4082957124084632,0.425856657148205,True
0.0,0.0,10,none,strong,7,adaptshrink_ens,0.0,-0.1515200383608854,-0.3357363230527285,0.0326962463309577,True
0.0,0.0,10,none,strong,7,adaptshrink_fast,0.0,-0.015757088929464,-1.1451485813605238,1.1136344035015957,True
0.0,0.0,10,none,strong,8,dl_hksj,0.0,0.0864161496608723,-0.0374446308516333,0.210276930173378,True
0.0,0.0,10,none,strong,8,reml_hksj,0.0,0.0875716539248598,-0.0334355398344159,0.2085788476841356,True
0.0,0.0,10,none,strong,8,trim_and_fill,0.0,0.0811247510863841,0.0157957475059435,0.1464537546668247,True
0.0,0.0,10,none,strong,8,pet_peese,0.0,0.1711209461801701,-0.0107023659928257,0.3529442583531661,True
