mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
smooth,moderate,112,adaptshrink_solo,0.2,0.2454005628017961,-0.0054950323248111,0.4962961579284033,True
smooth,moderate,113,reml_hksj,0.2,0.2958215664734572,0.2229632475500972,0.3686798853968171,True
smooth,moderate,113,trim_and_fill,0.2,0.1677397381538219,0.1317898364514312,0.2036896398562126,True
smooth,moderate,113,pet_peese,0.2,0.3075192614416606,0.2395441151139449,0.3754944077693762,True
smooth,moderate,113,copas,0.2,0.2958646217808466,0.22804287858082,0.3636863649808733,True
smooth,moderate,113,ubcma,0.2,0.2924985801556581,0.1611945548362774,0.391475560063502,True
smooth,moderate,113,henmi_copas,0.2,0.3000040781771718,0.2169956461433463,0.3830125102109973,True
smooth,moderate,113,adaptshrink_ens,0.2,0.2950344070488592,0.1090698444609072,0.4809989696368113,True
smooth,moderate,113,adaptshrink_solo,0.2,0.2958584902511411,0.2149134455503141,0.376803534951968,True
smooth,moderate,114,reml_hksj,0.2,0.244443879738103,0.1632175988432889,0.3256701606329171,True
smooth,moderate,114,trim_and_fill,0.2,0.0529320792495172,0.0184935910782203,0.087370567420814,True
smooth,moderate,114,pet_peese,0.2,0.2343101317543723,0.1684238485143115,0.3001964149944331,True
smooth,moderate,114,copas,0.2,0.2440955005885109,0.1702042909880425,0.3179867101889793,True
smooth,moderate,114,ubcma,0.2,0.1586109567095492,0.0039381260924723,0.3012692526754013,True
smooth,moderate,114,henmi_copas,0.2,0.2471216845853452,0.1481824192901271,0.3460609498805633,True
smooth,moderate,114,adaptshrink_ens,0.2,0.1631010230587302,-0.159923123079416,0.4861251691968764,True
smooth,moderate,114,adaptshrink_solo,0.2,0.2442548733413826,0.1645036382339543,0.3240061084488109,True
smooth,moderate,115,reml_hksj,0.2,0.3084069057813633,0.2118923604042464,0.4049214511584803,True
smooth,moderate,115,trim_and_fill,0.2,0.1073874543040794,0.0726100755513226,0.1421648330568363,True
smooth,moderate,115,pet_peese,0.2,0.2582853776660503,0.1994777058791453,0.3170930494529553,True
smooth,moderate,115,copas,0.2,0.307835483988594,0.2199235968518476,0.3957473711253405,True
smooth,moderate,115,ubcma,0.2,0.1860522078538444,0.0239287285422463,0.3402413311212424,True
smooth,moderate,115,henmi_copas,0.2,0.2857175704141152,0.1655884412291975,0.4058466995990328,True
smooth,moderate,115,adaptshrink_ens,0.2,0.1854365658532424,-0.1085077892706681,0.4793809209771529,True
smooth,moderate,115,adaptshrink_solo,0.2,0.3088631972450972,0.1183494841267255,0.4993769103634689,True
smooth,moderate,116,reml_hksj,0.2,0.3246894234719897,0.2766447895805534,0.372734057363426,True
smooth,moderate,116,trim_and_fill,0.2,0.1894875101393583,0.1565519733371969,0.2224230469415197,True
smooth,moderate,116,pet_peese,0.2,0.3352328726511455,0.2702848527978407,0.4001808925044503,True
smooth,moderate,116,copas,0.2,0.324689421531562,0.2799063038629075,0.3694725392002165,True
smooth,moderate,116,ubcma,0.2,0.3054436847123786,0.2198995845617564,0.3919361055037315,True
smooth,moderate,116,henmi_copas,0.2,0.3246894268166531,0.2801594533779005,0.3692194002554056,True
smooth,moderate,116,adaptshrink_ens,0.2,0.31142808111409,0.1223193012003842,0.5005368610277957,True
smooth,moderate,116,adaptshrink_solo,0.2,0.3240185232013852,0.2717496724833946,0.3762873739193758,True
smooth,moderate,117,reml_hksj,0.2,0.2642851877917933,0.1924594914112717,0.3361108841723149,True
smooth,moderate,117,trim_and_fill,0.2,0.0622784316402774,0.0294358698345966,0.0951209934459582,True
smooth,moderate,117,pet_peese,0.2,0.2735395462625783,0.2129741449627836,0.3341049475623731,True
smooth,moderate,117,copas,0.2,0.2644005355831755,0.1983618656346589,0.3304392055316921,True
smooth,moderate,117,ubcma,0.2,0.2655125671351067,0.1553567318362314,0.3879109760419938,True
smooth,moderate,117,henmi_copas,0.2,0.2633334011735434,0.1843885564895677,0.3422782458575191,True
smooth,moderate,117,adaptshrink_ens,0.2,0.2678299525824684,0.0990873110759255,0.4365725940890113,True
smooth,moderate,117,adaptshrink_solo,0.2,0.2643204369608043,0.1896676706678534,0.3389732032537552,True
smooth,moderate,118,reml_hksj,0.2,0.293144092899915,0.2244501847477812,0.3618380010520489,True
smooth,moderate,118,trim_and_fill,0.2,0.1337973319307708,0.0954861234158062,0.1721085404457353,True
smooth,moderate,118,pet_peese,0.2,0.2553459427007344,0.1803814186697908,0.330310466731678,True
smooth,moderate,118,copas,0.2,0.2914754849002228,0.2330179754668425,0.3499329943336031,True
smooth,moderate,118,ubcma,0.2,0.2909638205440384,0.1737969000836392,0.4210963237404949,True
smooth,moderate,118,henmi_copas,0.2,0.2879334981752705,0.2180594837680077,0.3578075125825332,True
smooth,moderate,118,adaptshrink_ens,0.2,0.2540335838890328,0.0507964109237872,0.4572707568542784,True
smooth,moderate,118,adaptshrink_solo,0.2,0.2939349996060815,0.1761054957116273,0.4117645035005358,True
smooth,moderate,119,reml_hksj,0.2,0.3002229676159593,0.2506149740796339,0.3498309611522847,True
smooth,moderate,119,trim_and_fill,0.2,0.1940132455183447,0.1659953562071245,0.2220311348295649,True
smooth,moderate,119,pet_peese,0.2,0.2624381121295959,0.2155643495837254,0.3093118746754663,True
smooth,moderate,119,copas,0.2,0.2996291650251954,0.2533676855830956,0.3458906444672951,True
smooth,moderate,119,ubcma,0.2,0.2021619293670942,0.1466824560664873,0.2572035220575937,True
smooth,moderate,119,henmi_copas,0.2,0.2912464298791414,0.2411103074025834,0.3413825523556993,True
smooth,moderate,119,adaptshrink_ens,0.2,0.1991243220627755,0.1179452177855535,0.2803034263399975,True
smooth,moderate,119,adaptshrink_solo,0.2,0.2512007264785557,0.0467473941571239,0.4556540587999875,True
step,moderate,0,reml_hksj,0.2,0.3032364809361266,0.2554769102149042,0.3509960516573491,True
step,moderate,0,trim_and_fill,0.2,0.1932017228248593,0.162890097349501,0.2235133483002177,True
step,moderate,0,pet_peese,0.2,0.2725638061889009,0.2147746993030908,0.3303529130747111,True
step,moderate,0,copas,0.2,0.3026215443255398,0.2615420718327902,0.3437010168182893,True
step,moderate,0,ubcma,0.2,0.2712583497299498,0.197578227637546,0.3478488123921655,True
step,moderate,0,henmi_copas,0.2,0.3016895538669647,0.2532725058225579,0.3501066019113715,True
step,moderate,0,adaptshrink_ens,0.2,0.2658070559864014,0.1353007818619735,0.3963133301108293,True
step,moderate,0,adaptshrink_solo,0.2,0.2899632829549431,0.1143665271899444,0.4655600387199418,True
step,moderate,1,reml_hksj,0.2,0.3127708815531519,0.2374724054619978,0.3880693576443059,True
step,moderate,1,trim_and_fill,0.2,0.1432974466150351,0.1116370472644371,0.174957845965633,True
step,moderate,1,pet_peese,0.2,0.2497300401832753,0.1948374323515979,0.3046226480149526,True
step,moderate,1,copas,0.2,0.3121823910063416,0.2428280867953336,0.3815366952173495,True
step,moderate,1,ubcma,0.2,0.2642988668102766,0.1516404291478008,0.3819862588016682,True
step,moderate,1,henmi_copas,0.2,0.285936247235562,0.1996588826403494,0.3722136118307746,True
step,moderate,1,adaptshrink_ens,0.2,0.2465419732438196,0.0976191294323935,0.3954648170552457,True
step,moderate,1,adaptshrink_solo,0.2,0.2629820692084123,0.0328846186975705,0.4930795197192541,True
step,moderate,2,reml_hksj,0.2,0.2629303231946771,0.1954511135325697,0.3304095328567844,True
step,moderate,2,trim_and_fill,0.2,0.0713266433478779,0.0404803018528611,0.1021729848428947,True
step,moderate,2,pet_peese,0.2,0.2759430751903354,0.2133543855557066,0.3385317648249641,True
step,moderate,2,copas,0.2,0.2630138474939144,0.1994647072050359,0.3265629877827928,True
step,moderate,2,ubcma,0.2,0.1878626179350391,0.0934605043355892,0.2790086090497868,True
step,moderate,2,henmi_copas,0.2,0.2667955306577386,0.1937053081100816,0.3398857532053956,True
step,moderate,2,adaptshrink_ens,0.2,0.1904030800356027,-0.0849369385161351,0.4657430985873406,True
step,moderate,2,adaptshrink_solo,0.2,0.262907363460256,0.1933762249015319,0.33243850201898,True
step,moderate,3,reml_hksj,0.2,0.3443298096856901,0.2849695984042913,0.4036900209670889,True
step,moderate,3,trim_and_fill,0.2,0.1988371926084585,0.1720023425006092,0.2256720427163077,True
step,moderate,3,pet_peese,0.2,0.2716106755499757,0.2266553380237906,0.3165660130761609,True
step,moderate,3,copas,0.2,0.3431872922193164,0.2876207139291246,0.3987538705095083,True
step,moderate,3,ubcma,0.2,0.2037203637042438,0.0854949791382317,0.298594659879953,True
step,moderate,3,henmi_copas,0.2,0.3190394778472309,0.2501118863274347,0.3879670693670271,True
step,moderate,3,adaptshrink_ens,0.2,0.2018423084821756,0.1210367849993893,0.2826478319649618,True
step,moderate,3,adaptshrink_solo,0.2,0.2380391134510948,0.0255199169762851,0.4505583099259044,True
step,moderate,4,reml_hksj,0.2,0.3345933029017653,0.2675911363306571,0.4015954694728736,True
step,moderate,4,trim_and_fill,0.2,0.2280812176972236,0.1958617254110463,0.260300709983401,True
step,moderate,4,pet_peese,0.2,0.3364320645567937,0.2814148991876395,0.3914492299259478,True
step,moderate,4,copas,0.2,0.3345987138939291,0.2799830685071798,0.3892143592806783,True
step,moderate,4,ubcma,0.2,0.2900370978241466,0.2058503228262339,0.3757837899036652,True
step,moderate,4,henmi_copas,0.2,0.3340908745774388,0.262945391521854,0.4052363576330237,True
step,moderate,4,adaptshrink_ens,0.2,0.2906639109501435,0.0979118565267257,0.4834159653735612,True
step,moderate,4,adaptshrink_solo,0.2,0.3345586330618817,0.2761708836904305,0.392946382433333,True
step,moderate,5,reml_hksj,0.2,0.3205313112042776,0.2666522125928108,0.3744104098157444,True
step,moderate,5,trim_and_fill,0.2,0.174267805898533,0.1451377407683369,0.2033978710287292,True
step,moderate,5,pet_peese,0.2,0.2495545174583924,0.199154791295435,0.2999542436213498,True
step,moderate,5,copas,0.2,0.3194180240560329,0.2690008140498889,0.3698352340621769,True
step,moderate,5,ubcma,0.2,0.2474404467237174,0.160489919791009,0.3282565698322047,True
step,moderate,5,henmi_copas,0.2,0.3032902689081522,0.2461256797050768,0.3604548581112275,True
step,moderate,5,adaptshrink_ens,0.2,0.2429738445632719,0.1192841727528772,0.3666635163736667,True
step,moderate,5,adaptshrink_solo,0.2,0.2118186979554539,0.0530916157398439,0.3705457801710639,True
step,moderate,6,reml_hksj,0.2,0.3440648575123137,0.2486804214739079,0.4394492935507195,True
step,moderate,6,trim_and_fill,0.2,0.1727568571327724,0.1411632010380575,0.2043505132274872,True
step,moderate,6,pet_peese,0.2,0.4588353416525803,0.3948741498088523,0.5227965334963083,True
step,moderate,6,copas,0.2,0.3447858897841875,0.2599014047047043,0.4296703748636706,True
step,moderate,6,ubcma,0.2,0.2749085687417819,0.0652713309516174,0.4476259407670904,True
step,moderate,6,henmi_copas,0.2,0.3845558667426036,0.2827498699015734,0.4863618635836337,True
step,moderate,6,adaptshrink_ens,0.2,0.2560738080716681,-0.1806010949037355,0.6927487110470718,True
step,moderate,6,adaptshrink_solo,0.2,0.4788650876860279,0.2159634419020012,0.7417667334700546,True
step,moderate,7,reml_hksj,0.2,0.3290308214341704,0.2857881044919874,0.3722735383763534,True
step,moderate,7,trim_and_fill,0.2,0.2484708537001617,0.2157233897761665,0.2812183176241569,True
step,moderate,7,pet_peese,0.2,0.3140659584163697,0.2595087937623137,0.3686231230704256,True
step,moderate,7,copas,0.2,0.3284529272785783,0.2880840068398095,0.3688218477173471,True
step,moderate,7,ubcma,0.2,0.278908089385835,0.2214071091377851,0.3369622054298871,True
step,moderate,7,henmi_copas,0.2,0.3284536157800956,0.2907057361204239,0.3662014954397672,True
step,moderate,7,adaptshrink_ens,0.2,0.275774614252342,0.1541955947219385,0.3973536337827456,True
step,moderate,7,adaptshrink_solo,0.2,0.3284536157800956,0.2544631067418805,0.4024441248183106,True
step,moderate,8,reml_hksj,0.2,0.311091035448211,0.2528446135046239,0.369337457391798,True
step,moderate,8,trim_and_fill,0.2,0.1655383512900324,0.1378945130071476,0.1931821895729171,True
step,moderate,8,pet_peese,0.2,0.2391564067427434,0.1910287350651888,0.2872840784202981,True
step,moderate,8,copas,0.2,0.309608073025166,0.2561295713579212,0.3630865746924108,True
step,moderate,8,ubcma,0.2,0.2520958895643,0.1833961584297992,0.3181032732996695,True
step,moderate,8,henmi_copas,0.2,0.2923007940497605,0.2284506146247126,0.3561509734748085,True
step,moderate,8,adaptshrink_ens,0.2,0.2377963879803364,0.1185061543414657,0.3570866216192071,True
step,moderate,8,adaptshrink_solo,0.2,0.1938131647630517,-0.0193598844311775,0.4069862139572811,True
step,moderate,9,reml_hksj,0.2,0.3243339964645054,0.2584986414035316,0.3901693515254792,True
step,moderate,9,trim_and_fill,0.2,0.1846477984221498,0.1520104442948166,0.217285152549483,True
step,moderate,9,pet_peese,0.2,0.3044943822007897,0.2437153472259724,0.365273417175607,True
step,moderate,9,copas,0.2,0.3233673776266208,0.2674223001376469,0.3793124551155947,True
step,moderate,9,ubcma,0.2,0.3045180677090747,0.2115839390678561,0.3920849350946641,True
step,moderate,9,henmi_copas,0.2,0.318507308417122,0.2485421522533955,0.3884724645808484,True
step,moderate,9,adaptshrink_ens,0.2,0.2993198726839945,0.150249665853513,0.448390079514476,True
step,moderate,9,adaptshrink_solo,0.2,0.3245649604466406,0.2619845604772176,0.3871453604160636,True
step,moderate,10,reml_hksj,0.2,0.2610852947835002,0.2012454141712108,0.3209251753957896,True
step,moderate,10,trim_and_fill,0.2,0.0805520517121429,0.0477429541871365,0.1133611492371493,True
step,moderate,10,pet_peese,0.2,0.0738852478606461,-0.0494522191018783,0.1972227148231705,True
step,moderate,10,copas,0.2,0.260136091157609,0.2040867681528884,0.3161854141623296,True
step,moderate,10,ubcma,0.2,0.1752053781099732,0.0964347986812372,0.2611393134747227,True
step,moderate,10,henmi_copas,0.2,0.2440177708583159,0.1819679466440393,0.3060675950725925,True
step,moderate,10,adaptshrink_ens,0.2,0.082382713236398,-0.0102418488446415,0.1750072753174375,True
step,moderate,10,adaptshrink_solo,0.2,0.1028636819549949,-0.1387985985463947,0.3445259624563845,True
step,moderate,11,reml_hksj,0.2,0.3304119000647212,0.2774705884128071,0.3833532117166353,True
step,moderate,11,trim_and_fill,0.2,0.2091501613988657,0.1786248545167331,0.2396754682809984,True
step,moderate,11,pet_peese,0.2,0.3292558639326111,0.2754221205898461,0.3830896072753761,True
step,moderate,11,copas,0.2,0.3303386512595755,0.281484053101292,0.379193249417859,True
step,moderate,11,ubcma,0.2,0.2983977453868035,0.2113988953782286,0.386965025367364,True
step,moderate,11,henmi_copas,0.2,0.3299097788005949,0.2735047170804461,0.3863148405207438,True
step,moderate,11,adaptshrink_ens,0.2,0.3043726793194165,0.1241546448135053,0.4845907138253277,True
step,moderate,11,adaptshrink_solo,0.2,0.3304384119947688,0.2720678414401422,0.3888089825493955,True
step,moderate,12,reml_hksj,0.2,0.2936537677021046,0.2389529632156925,0.3483545721885167,True
step,moderate,12,trim_and_fill,0.2,0.1397407316758632,0.1096493992128713,0.169832064138855,True
step,moderate,12,pet_peese,0.2,0.2552222857272538,0.1973599254949128,0.3130846459595947,True
step,moderate,12,copas,0.2,0.2931886356108735,0.2431252035681558,0.3432520676535912,True
step,moderate,12,ubcma,0.2,0.1690293413291207,0.0976204008825205,0.2447101966358845,True
step,moderate,12,henmi_copas,0.2,0.2875356729130865,0.2299814859056664,0.3450898599205066,True
step,moderate,12,adaptshrink_ens,0.2,0.1596320809522608,0.0120744371383129,0.3071897247662086,True
step,moderate,12,adaptshrink_solo,0.2,0.279208449548237,0.0851431332040044,0.4732737658924695,True
step,moderate,13,reml_hksj,0.2,0.2963765968859407,0.2543576621224296,0.3383955316494518,True
step,moderate,13,trim_and_fill,0.2,0.1735981696469417,0.1476227252879297,0.1995736140059537,True
step,moderate,13,pet_peese,0.2,0.2839154537931783,0.2391769019313657,0.3286540056549908,True
step,moderate,13,copas,0.2,0.2960600241171238,0.2578395746931705,0.3342804735410771,True
step,moderate,13,ubcma,0.2,0.2821681829335468,0.2317454530734044,0.3335207535790396,True
step,moderate,13,henmi_copas,0.2,0.2949064549515859,0.2515371941012432,0.3382757158019285,True
step,moderate,13,adaptshrink_ens,0.2,0.2805160015539935,0.1784693504372979,0.382562652670689,True
step,moderate,13,adaptshrink_solo,0.2,0.2968026537512206,0.2578609932821313,0.3357443142203099,True
step,moderate,14,reml_hksj,0.2,0.3163628705840395,0.256500359424081,0.3762253817439981,True
step,moderate,14,trim_and_fill,0.2,0.2096802216336687,0.18094821766254,0.2384122256047975,True
step,moderate,14,pet_peese,0.2,0.33399599463691,0.287888489477214,0.380103499796606,True
step,moderate,14,copas,0.2,0.3166940373835354,0.2608573641257105,0.3725307106413604,True
step,moderate,14,ubcma,0.2,0.2520571452451949,0.179304873665576,0.3105355192739383,True
step,moderate,14,henmi_copas,0.2,0.3259546123256285,0.2591030565237129,0.3928061681275442,True
step,moderate,14,adaptshrink_ens,0.2,0.2456395993806426,0.0757850397213334,0.4154941590399517,True
step,moderate,14,adaptshrink_solo,0.2,0.316299375032596,0.2565757749712752,0.3760229750939168,True
step,moderate,15,reml_hksj,0.2,0.3045553978205867,0.2423874806655608,0.3667233149756126,True
step,moderate,15,trim_and_fill,0.2,0.1561806605542063,0.1299529336551541,0.1824083874532585,True
step,moderate,15,pet_peese,0.2,0.357002695483874,0.3119096765654823,0.4020957144022657,True
step,moderate,15,copas,0.2,0.305027594995602,0.2463169347367437,0.3637382552544602,True
step,moderate,15,ubcma,0.2,0.2671780741625275,0.1799899967674176,0.3536846619443879,True
step,moderate,15,henmi_copas,0.2,0.3268277244394917,0.252315350916942,0.4013400979620414,True
