mu,tau,k,mechanism,strength,outcome,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.3,5,copas,moderate,continuous,p_uniform_star,34,0.85,1.0118,3.6442,0.824,2.0719,1.6524,0.889
0.0,0.3,5,copas,moderate,continuous,pet_peese,40,1.0,0.0676,0.3304,0.5,0.5905,1.3189,0.95
0.0,0.3,5,copas,moderate,continuous,reml_hksj,40,1.0,0.1062,0.176,0.875,0.8987,0.7389,1.0
0.0,0.3,5,copas,moderate,continuous,trim_and_fill,40,1.0,-0.0971,0.2246,0.275,0.1587,0.7607,1.0
0.0,0.3,5,copas,moderate,continuous,ubcma,39,0.975,0.0709,0.2575,0.718,0.7905,1.0426,1.0
0.0,0.3,5,copas,moderate,continuous,vevea_hedges,38,0.95,0.2945,1.1435,0.711,1.4812,0.8552,0.789
0.0,0.3,5,step,moderate,continuous,adaptshrink_auto,40,1.0,0.1524,0.2562,0.825,0.9703,0.9443,0.95
0.0,0.3,5,step,moderate,continuous,adaptshrink_ens,40,1.0,0.1057,0.2644,0.675,0.641,0.9372,0.95
0.0,0.3,5,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.1057,0.2644,0.775,0.8653,0.9372,0.95
0.0,0.3,5,step,moderate,continuous,adaptshrink_fast,40,1.0,0.1316,0.2835,0.875,1.8135,0.9616,0.95
0.0,0.3,5,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.1764,0.268,0.775,0.9271,1.0196,1.0
0.0,0.3,5,step,moderate,continuous,adaptshrink_solo,40,1.0,0.3052,0.7722,0.875,4.1983,1.8068,0.9
0.0,0.3,5,step,moderate,continuous,copas,40,1.0,0.1892,0.2666,0.6,0.5029,1.0069,1.0
0.0,0.3,5,step,moderate,continuous,dl_hksj,40,1.0,0.1939,0.2691,0.775,0.984,1.0272,1.0
0.0,0.3,5,step,moderate,continuous,henmi_copas,40,1.0,0.1891,0.2769,0.725,1.0522,1.0198,1.0
0.0,0.3,5,step,moderate,continuous,p_curve,25,0.625,0.384,0.4084,0.32,0.6241,1.2131,1.0
0.0,0.3,5,step,moderate,continuous,p_uniform_star,32,0.8,0.1198,0.2759,0.781,0.9101,1.1103,1.0
0.0,0.3,5,step,moderate,continuous,pet_peese,40,1.0,0.2208,0.5679,0.45,0.7241,1.8975,0.9
0.0,0.3,5,step,moderate,continuous,reml_hksj,40,1.0,0.194,0.269,0.775,0.9599,1.0271,1.0
0.0,0.3,5,step,moderate,continuous,trim_and_fill,40,1.0,0.0809,0.26,0.225,0.1831,0.9172,0.95
0.0,0.3,5,step,moderate,continuous,ubcma,40,1.0,0.093,0.296,0.675,0.8103,1.0753,0.95
0.0,0.3,5,step,moderate,continuous,vevea_hedges,38,0.95,0.1301,0.2732,0.763,0.8238,0.9807,1.0
0.0,0.3,40,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0882,0.1068,0.85,0.5681,0.3385,0.9
0.0,0.3,40,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0328,0.0974,0.975,2.3486,0.4062,1.0
0.0,0.3,40,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0328,0.0974,1.0,2.7718,0.4062,1.0
0.0,0.3,40,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.1436,0.1699,0.9,0.579,0.6848,1.0
0.0,0.3,40,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.0914,0.1096,0.825,0.5397,0.3385,0.85
0.0,0.3,40,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.0921,0.1362,0.85,0.5756,0.4636,1.0
0.0,0.3,40,copas,moderate,continuous,copas,40,1.0,0.1174,0.1302,0.5,0.2215,0.3998,0.9
0.0,0.3,40,copas,moderate,continuous,dl_hksj,40,1.0,0.119,0.1318,0.55,0.2425,0.4017,0.9
0.0,0.3,40,copas,moderate,continuous,henmi_copas,40,1.0,0.1,0.1168,0.85,0.3024,0.435,0.95
0.0,0.3,40,copas,moderate,continuous,p_curve,40,1.0,0.4157,0.4271,0.025,0.2912,1.1088,1.0
0.0,0.3,40,copas,moderate,continuous,p_uniform_star,40,1.0,0.1634,0.1898,0.65,0.3784,0.7513,1.0
0.0,0.3,40,copas,moderate,continuous,pet_peese,40,1.0,0.0589,0.1164,0.575,0.1338,0.4524,0.95
0.0,0.3,40,copas,moderate,continuous,reml_hksj,40,1.0,0.119,0.1317,0.525,0.2346,0.4029,0.9
0.0,0.3,40,copas,moderate,continuous,trim_and_fill,40,1.0,-0.2207,0.2397,0.025,0.0564,0.7049,0.85
0.0,0.3,40,copas,moderate,continuous,ubcma,18,0.45,0.087,0.1366,0.833,0.5311,0.611,1.0
0.0,0.3,40,copas,moderate,continuous,vevea_hedges,40,1.0,0.1627,0.1888,0.65,0.3793,0.7396,1.0
0.0,0.3,40,step,moderate,continuous,adaptshrink_auto,40,1.0,0.164,0.1827,0.675,0.6957,0.5681,0.9
0.0,0.3,40,step,moderate,continuous,adaptshrink_ens,40,1.0,0.1033,0.1798,0.875,1.1694,0.5489,0.85
0.0,0.3,40,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.1033,0.1798,1.0,1.5,0.5489,0.85
0.0,0.3,40,step,moderate,continuous,adaptshrink_fast,40,1.0,0.0989,0.142,0.85,0.674,0.6965,1.0
0.0,0.3,40,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.1697,0.1868,0.6,0.5281,0.6094,1.0
0.0,0.3,40,step,moderate,continuous,adaptshrink_solo,40,1.0,0.2044,0.2537,0.7,0.7443,0.9386,0.95
0.0,0.3,40,step,moderate,continuous,copas,40,1.0,0.185,0.1953,0.225,0.2794,0.6143,0.95
0.0,0.3,40,step,moderate,continuous,dl_hksj,40,1.0,0.1868,0.197,0.3,0.3098,0.6192,0.95
0.0,0.3,40,step,moderate,continuous,henmi_copas,40,1.0,0.197,0.2175,0.425,0.3718,0.736,1.0
0.0,0.3,40,step,moderate,continuous,p_curve,40,1.0,0.3818,0.3913,0.0,0.258,1.0526,1.0
0.0,0.3,40,step,moderate,continuous,p_uniform_star,40,1.0,0.0828,0.132,0.9,0.4381,0.6492,1.0
0.0,0.3,40,step,moderate,continuous,pet_peese,40,1.0,0.2001,0.2564,0.225,0.1445,0.874,0.95
0.0,0.3,40,step,moderate,continuous,reml_hksj,40,1.0,0.1863,0.1964,0.3,0.3065,0.613,0.95
0.0,0.3,40,step,moderate,continuous,trim_and_fill,40,1.0,-0.1243,0.2154,0.1,0.0697,0.8373,1.0
0.0,0.3,40,step,moderate,continuous,ubcma,33,0.825,0.1341,0.2191,0.697,0.5248,0.7251,1.0
0.0,0.3,40,step,moderate,continuous,vevea_hedges,40,1.0,0.086,0.1348,0.9,0.4361,0.6401,1.0
0.0,0.5,5,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.126,0.2829,0.975,1.2977,0.8449,0.85
0.0,0.5,5,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0337,0.3774,0.725,0.816,1.92,1.0
0.0,0.5,5,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0337,0.3774,0.75,1.0852,1.92,1.0
0.0,0.5,5,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.1467,0.393,0.875,2.0247,1.5926,0.95
0.0,0.5,5,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.1354,0.2908,0.925,1.2797,0.8449,0.85
0.0,0.5,5,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.192,0.5158,0.975,5.4871,2.3729,1.0
0.0,0.5,5,copas,moderate,continuous,copas,40,1.0,0.1396,0.2754,0.75,0.7862,0.8025,0.8
0.0,0.5,5,copas,moderate,continuous,dl_hksj,40,1.0,0.1492,0.279,0.925,1.4565,0.814,0.8
0.0,0.5,5,copas,moderate,continuous,henmi_copas,40,1.0,0.1395,0.3133,0.975,1.764,1.1301,0.9
0.0,0.5,5,copas,moderate,continuous,p_curve,23,0.575,0.5987,0.6454,0.261,0.7508,1.6184,0.5
0.0,0.5,5,copas,moderate,continuous,p_uniform_star,40,1.0,0.167,0.407,0.7,1.2339,1.3692,0.85
0.0,0.5,5,copas,moderate,continuous,pet_peese,40,1.0,0.066,0.4917,0.4,0.5305,2.0888,1.0
0.0,0.5,5,copas,moderate,continuous,reml_hksj,40,1.0,0.1505,0.2798,0.925,1.3706,0.8242,0.8
0.0,0.5,5,copas,moderate,continuous,trim_and_fill,40,1.0,-0.109,0.4146,0.125,0.1606,2.1035,1.0
0.0,0.5,5,copas,moderate,continuous,ubcma,38,0.95,0.0836,0.4229,0.526,0.6786,1.5757,0.895
0.0,0.5,5,copas,moderate,continuous,vevea_hedges,38,0.95,0.1845,0.4112,0.711,1.2766,1.3708,0.895
0.0,0.5,5,step,moderate,continuous,adaptshrink_auto,40,1.0,0.2345,0.3845,0.875,1.5126,1.2677,0.95
0.0,0.5,5,step,moderate,continuous,adaptshrink_ens,40,1.0,0.1934,0.4498,0.55,1.1328,1.5581,0.85
0.0,0.5,5,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.1934,0.4498,0.7,1.4994,1.5581,0.85
0.0,0.5,5,step,moderate,continuous,adaptshrink_fast,40,1.0,0.5039,2.1839,0.975,5.9275,1.091,0.7
0.0,0.5,5,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.244,0.3894,0.775,1.4848,1.2677,0.95
0.0,0.5,5,step,moderate,continuous,adaptshrink_solo,40,1.0,0.4396,1.0466,0.95,7.7796,4.738,0.95
0.0,0.5,5,step,moderate,continuous,copas,40,1.0,0.2455,0.3795,0.575,0.8428,1.0991,0.85
0.0,0.5,5,step,moderate,continuous,dl_hksj,40,1.0,0.2571,0.3833,0.8,1.6118,1.0974,0.8
0.0,0.5,5,step,moderate,continuous,henmi_copas,40,1.0,0.2957,0.4427,0.825,1.9687,1.4193,0.85
0.0,0.5,5,step,moderate,continuous,p_curve,31,0.775,0.5865,0.6492,0.226,0.8618,1.6946,0.688
0.0,0.5,5,step,moderate,continuous,p_uniform_star,37,0.925,1.2137,6.7138,0.838,1.4829,1.0242,0.632
0.0,0.5,5,step,moderate,continuous,pet_peese,40,1.0,0.4341,0.8525,0.325,0.5533,3.5311,0.95
0.0,0.5,5,step,moderate,continuous,reml_hksj,40,1.0,0.2578,0.3865,0.8,1.5534,1.0938,0.8
0.0,0.5,5,step,moderate,continuous,trim_and_fill,40,1.0,0.0625,0.3839,0.15,0.1774,1.5032,0.95
0.0,0.5,5,step,moderate,continuous,ubcma,39,0.975,0.2154,0.4679,0.538,0.7995,1.6322,0.85
0.0,0.5,5,step,moderate,continuous,vevea_hedges,37,0.925,0.5162,2.6699,0.838,3.2303,0.9571,0.647
0.0,0.5,40,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0891,0.1471,0.875,1.1159,0.448,0.75
0.0,0.5,40,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0721,0.2064,0.8,2.9159,0.6553,0.9
0.0,0.5,40,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0721,0.2064,0.875,3.4465,0.6553,0.9
0.0,0.5,40,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.1378,0.1803,0.875,0.8589,0.585,0.95
0.0,0.5,40,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.0891,0.1471,0.875,1.1159,0.448,0.75
0.0,0.5,40,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.098,0.2524,0.85,1.0468,1.1834,1.0
0.0,0.5,40,copas,moderate,continuous,copas,40,1.0,0.1459,0.1679,0.6,0.3511,0.474,0.7
0.0,0.5,40,copas,moderate,continuous,dl_hksj,40,1.0,0.1485,0.1701,0.675,0.3876,0.4749,0.7
0.0,0.5,40,copas,moderate,continuous,henmi_copas,40,1.0,0.119,0.1749,0.8,0.5001,0.6722,1.0
0.0,0.5,40,copas,moderate,continuous,p_curve,40,1.0,0.5429,0.5499,0.0,0.3105,1.3488,0.9
0.0,0.5,40,copas,moderate,continuous,p_uniform_star,40,1.0,0.1413,0.1879,0.9,0.581,0.6172,0.9
0.0,0.5,40,copas,moderate,continuous,pet_peese,40,1.0,0.0792,0.2185,0.3,0.1203,0.9171,1.0
0.0,0.5,40,copas,moderate,continuous,reml_hksj,40,1.0,0.1486,0.17,0.625,0.3722,0.4764,0.7
0.0,0.5,40,copas,moderate,continuous,trim_and_fill,40,1.0,-0.4043,0.4424,0.025,0.0584,1.2512,0.85
0.0,0.5,40,copas,moderate,continuous,ubcma,24,0.6,0.1321,0.2982,0.458,0.4819,0.7151,0.636
0.0,0.5,40,copas,moderate,continuous,vevea_hedges,40,1.0,0.1408,0.187,0.9,0.5812,0.6175,0.9
0.0,0.5,40,step,moderate,continuous,adaptshrink_auto,40,1.0,0.2377,0.2789,0.625,0.6676,0.8069,0.9
0.0,0.5,40,step,moderate,continuous,adaptshrink_ens,40,1.0,0.1428,0.2832,0.725,1.3285,1.0814,0.85
0.0,0.5,40,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.1428,0.2832,0.825,1.7117,1.0814,0.85
0.0,0.5,40,step,moderate,continuous,adaptshrink_fast,40,1.0,0.1063,0.213,0.85,1.0232,0.6953,0.8
0.0,0.5,40,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.2377,0.2789,0.625,0.6676,0.8069,0.9
0.0,0.5,40,step,moderate,continuous,adaptshrink_solo,40,1.0,0.2732,0.372,0.7,1.0651,1.1506,0.9
0.0,0.5,40,step,moderate,continuous,copas,40,1.0,0.2664,0.2871,0.3,0.4021,0.8335,0.95
0.0,0.5,40,step,moderate,continuous,dl_hksj,40,1.0,0.2689,0.2898,0.375,0.4455,0.844,0.95
0.0,0.5,40,step,moderate,continuous,henmi_copas,40,1.0,0.2714,0.3052,0.55,0.5447,0.8809,0.85
0.0,0.5,40,step,moderate,continuous,p_curve,40,1.0,0.5464,0.5549,0.0,0.3119,1.3453,0.85
0.0,0.5,40,step,moderate,continuous,p_uniform_star,40,1.0,0.0939,0.2135,0.8,0.6706,0.7586,0.85
0.0,0.5,40,step,moderate,continuous,pet_peese,40,1.0,0.2618,0.3548,0.15,0.1409,1.2079,0.95
0.0,0.5,40,step,moderate,continuous,reml_hksj,40,1.0,0.2684,0.2892,0.35,0.4359,0.8416,0.95
0.0,0.5,40,step,moderate,continuous,trim_and_fill,40,1.0,-0.1991,0.3294,0.125,0.0694,1.039,0.9
0.0,0.5,40,step,moderate,continuous,ubcma,36,0.9,0.26,0.3828,0.5,0.5831,1.1814,0.938
0.0,0.5,40,step,moderate,continuous,vevea_hedges,40,1.0,0.0952,0.2155,0.8,0.6687,0.725,0.8
0.2,0.1,5,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0111,0.1091,0.975,0.6111,0.5411,1.0
0.2,0.1,5,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0063,0.1215,0.925,0.4975,0.5411,1.0
0.2,0.1,5,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0063,0.1215,0.975,0.628,0.5411,1.0
0.2,0.1,5,copas,moderate,continuous,adaptshrink_fast,40,1.0,-0.0781,0.6033,0.975,3.6913,0.587,0.9
0.2,0.1,5,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.0579,0.1097,0.975,0.5479,0.4812,1.0
0.2,0.1,5,copas,moderate,continuous,adaptshrink_solo,40,1.0,-0.0031,0.268,0.975,2.7804,0.839,0.95
0.2,0.1,5,copas,moderate,continuous,copas,40,1.0,0.0724,0.1209,0.7,0.2942,0.5363,1.0
0.2,0.1,5,copas,moderate,continuous,dl_hksj,40,1.0,0.0814,0.1246,0.925,0.5166,0.5355,1.0
0.2,0.1,5,copas,moderate,continuous,henmi_copas,40,1.0,0.0702,0.1127,0.75,0.4423,0.4262,1.0
0.2,0.1,5,copas,moderate,continuous,p_curve,23,0.575,0.1287,0.1565,0.826,0.5912,0.5512,1.0
0.2,0.1,5,copas,moderate,continuous,p_uniform_star,24,0.6,-14.8539,52.1205,0.75,2.1868,1.4727,0.8
0.2,0.1,5,copas,moderate,continuous,pet_peese,40,1.0,-0.0464,0.2562,0.725,0.6327,1.179,0.95
0.2,0.1,5,copas,moderate,continuous,reml_hksj,40,1.0,0.0828,0.1259,0.95,0.5263,0.5373,1.0
0.2,0.1,5,copas,moderate,continuous,trim_and_fill,40,1.0,-0.0137,0.1178,0.475,0.1769,0.4869,1.0
0.2,0.1,5,copas,moderate,continuous,ubcma,39,0.975,-0.0095,0.1305,0.923,0.5541,0.5045,0.95
0.2,0.1,5,copas,moderate,continuous,vevea_hedges,38,0.95,-0.1892,1.1411,0.816,1.4566,0.4781,0.9
0.2,0.1,5,step,moderate,continuous,adaptshrink_auto,40,1.0,0.0552,0.0978,1.0,0.5971,0.3485,0.95
0.2,0.1,5,step,moderate,continuous,adaptshrink_ens,40,1.0,0.0294,0.0977,0.95,0.4446,0.3231,0.85
0.2,0.1,5,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.0294,0.0977,1.0,0.5796,0.3231,0.85
0.2,0.1,5,step,moderate,continuous,adaptshrink_fast,40,1.0,0.0651,0.1267,0.95,1.2977,0.3853,0.8
0.2,0.1,5,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.081,0.107,0.95,0.5219,0.3607,1.0
0.2,0.1,5,step,moderate,continuous,adaptshrink_solo,40,1.0,0.085,0.1922,0.9,2.4447,0.4327,0.85
0.2,0.1,5,step,moderate,continuous,copas,40,1.0,0.0834,0.1092,0.8,0.2785,0.396,1.0
0.2,0.1,5,step,moderate,continuous,dl_hksj,40,1.0,0.0911,0.1144,0.95,0.5188,0.405,1.0
0.2,0.1,5,step,moderate,continuous,henmi_copas,40,1.0,0.0841,0.1112,0.825,0.4603,0.3648,1.0
0.2,0.1,5,step,moderate,continuous,p_curve,37,0.925,0.1117,0.1412,0.838,0.5447,0.4326,0.765
0.2,0.1,5,step,moderate,continuous,p_uniform_star,28,0.7,0.053,0.145,0.821,0.6473,0.4201,0.692
0.2,0.1,5,step,moderate,continuous,pet_peese,40,1.0,0.0123,0.2035,0.575,0.5753,0.6144,0.85
0.2,0.1,5,step,moderate,continuous,reml_hksj,40,1.0,0.0909,0.1151,0.95,0.5091,0.4215,1.0
0.2,0.1,5,step,moderate,continuous,trim_and_fill,40,1.0,0.0129,0.0871,0.625,0.1552,0.2918,0.9
0.2,0.1,5,step,moderate,continuous,ubcma,40,1.0,0.0208,0.135,0.85,0.5879,0.4851,0.9
