mu,tau,k,mechanism,strength,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.0,10,step,strong,pet_peese,80,1.0,0.0911,0.1349,0.8,0.3826,0.5028,0.975
0.0,0.0,10,step,strong,reml_hksj,80,1.0,0.1132,0.1314,0.537,0.2413,0.4553,0.95
0.0,0.0,10,step,strong,trim_and_fill,80,1.0,0.0134,0.0997,0.425,0.1195,0.3438,0.9
0.0,0.0,10,step,strong,ubcma,77,0.962,0.0454,0.1531,0.896,0.4151,0.8464,1.0
0.0,0.0,10,step,strong,vevea_hedges,80,1.0,0.0842,0.1185,0.75,0.2713,0.4223,0.925
0.0,0.0,40,copas,strong,adaptshrink_ens,80,1.0,-0.0098,0.0328,0.988,0.2372,0.119,0.95
0.0,0.0,40,copas,strong,adaptshrink_fast,80,1.0,0.0942,0.1015,0.8,0.361,0.2896,0.925
0.0,0.0,40,copas,strong,adaptshrink_solo,80,1.0,0.0578,0.0802,0.6,0.2088,0.267,0.95
0.0,0.0,40,copas,strong,copas,80,1.0,0.0886,0.0918,0.013,0.0858,0.2453,0.925
0.0,0.0,40,copas,strong,dl_hksj,80,1.0,0.0886,0.0918,0.013,0.0881,0.2453,0.925
0.0,0.0,40,copas,strong,henmi_copas,80,1.0,0.0849,0.0886,0.037,0.0884,0.2475,0.925
0.0,0.0,40,copas,strong,p_curve,68,0.85,0.1082,0.1656,0.75,0.6407,0.4704,0.868
0.0,0.0,40,copas,strong,p_uniform_star,68,0.85,0.1088,0.1148,0.162,0.1631,0.3314,0.941
0.0,0.0,40,copas,strong,pet_peese,80,1.0,0.0407,0.0672,0.787,0.1586,0.2805,0.975
0.0,0.0,40,copas,strong,reml_hksj,80,1.0,0.089,0.0922,0.013,0.0911,0.2454,0.925
0.0,0.0,40,copas,strong,trim_and_fill,80,1.0,-0.0301,0.0424,0.438,0.057,0.1694,1.0
0.0,0.0,40,copas,strong,ubcma,79,0.988,-0.0061,0.037,0.937,0.1497,0.1227,0.897
0.0,0.0,40,copas,strong,vevea_hedges,80,1.0,0.1008,0.1077,0.225,0.1501,0.3102,0.925
0.0,0.0,40,none,strong,adaptshrink_ens,80,1.0,0.0039,0.0344,1.0,0.3274,0.1042,0.85
0.0,0.0,40,none,strong,adaptshrink_fast,80,1.0,0.0746,0.0815,0.787,0.2916,0.2237,0.825
0.0,0.0,40,none,strong,adaptshrink_solo,80,1.0,0.0733,0.0823,0.463,0.1767,0.2641,0.975
0.0,0.0,40,none,strong,copas,80,1.0,0.0734,0.077,0.1,0.0834,0.2262,0.975
0.0,0.0,40,none,strong,dl_hksj,80,1.0,0.0735,0.0771,0.125,0.0885,0.2262,0.975
0.0,0.0,40,none,strong,henmi_copas,80,1.0,0.0738,0.0772,0.15,0.0909,0.2223,0.975
0.0,0.0,40,none,strong,p_curve,70,0.875,0.1377,0.1676,0.757,0.5658,0.4979,0.889
0.0,0.0,40,none,strong,p_uniform_star,63,0.788,0.077,0.0852,0.333,0.1287,0.2457,0.867
0.0,0.0,40,none,strong,pet_peese,80,1.0,0.068,0.0813,0.425,0.1262,0.237,0.925
0.0,0.0,40,none,strong,reml_hksj,80,1.0,0.0734,0.077,0.163,0.0895,0.2262,0.975
0.0,0.0,40,none,strong,trim_and_fill,80,1.0,-0.0401,0.0533,0.362,0.055,0.1886,0.95
0.0,0.0,40,none,strong,ubcma,78,0.975,0.0065,0.0323,0.974,0.1431,0.0965,0.875
0.0,0.0,40,none,strong,vevea_hedges,80,1.0,0.075,0.0824,0.3,0.1187,0.2289,0.825
0.0,0.0,40,step,strong,adaptshrink_ens,80,1.0,0.0866,0.1126,0.9,0.406,0.4242,1.0
0.0,0.0,40,step,strong,adaptshrink_fast,80,1.0,0.0801,0.2054,1.0,1.0366,0.4285,0.975
0.0,0.0,40,step,strong,adaptshrink_solo,80,1.0,0.1483,0.1737,0.575,0.5044,0.6637,1.0
0.0,0.0,40,step,strong,copas,80,1.0,0.1667,0.1731,0.075,0.1677,0.5301,1.0
0.0,0.0,40,step,strong,dl_hksj,80,1.0,0.1669,0.1734,0.163,0.2342,0.5279,1.0
0.0,0.0,40,step,strong,henmi_copas,80,1.0,0.1624,0.1688,0.237,0.2246,0.5058,0.95
0.0,0.0,40,step,strong,p_curve,69,0.862,0.1085,0.1567,0.739,0.6266,0.4625,0.882
0.0,0.0,40,step,strong,p_uniform_star,50,0.625,-1.3386,10.0079,0.88,0.3431,0.3203,0.875
0.0,0.0,40,step,strong,pet_peese,80,1.0,0.1278,0.1776,0.637,0.3176,0.6566,0.95
0.0,0.0,40,step,strong,reml_hksj,80,1.0,0.1671,0.1738,0.15,0.2322,0.5296,0.975
0.0,0.0,40,step,strong,trim_and_fill,80,1.0,0.0715,0.1058,0.25,0.1116,0.4279,1.0
0.0,0.0,40,step,strong,ubcma,76,0.95,0.0736,0.1532,0.816,0.3861,0.4362,0.833
0.0,0.0,40,step,strong,vevea_hedges,80,1.0,0.07,0.2661,0.7,0.3528,0.4036,0.95
0.0,0.1,10,copas,strong,adaptshrink_ens,80,1.0,-0.025,0.11,0.925,0.5317,0.3297,0.825
0.0,0.1,10,copas,strong,adaptshrink_fast,80,1.0,0.0882,0.1382,0.95,1.2002,0.4703,0.875
0.0,0.1,10,copas,strong,adaptshrink_solo,80,1.0,0.0477,0.1319,0.912,0.8494,0.3659,0.775
0.0,0.1,10,copas,strong,copas,80,1.0,0.094,0.1148,0.613,0.2107,0.3153,0.8
0.0,0.1,10,copas,strong,dl_hksj,80,1.0,0.0955,0.1162,0.787,0.2744,0.3224,0.8
0.0,0.1,10,copas,strong,henmi_copas,80,1.0,0.0859,0.1119,0.775,0.2824,0.339,0.85
0.0,0.1,10,copas,strong,p_curve,33,0.412,0.224,0.2545,0.667,0.7916,0.8577,0.941
0.0,0.1,10,copas,strong,p_uniform_star,60,0.75,0.1604,0.2992,0.983,1.1267,0.8581,0.967
0.0,0.1,10,copas,strong,pet_peese,80,1.0,0.0103,0.1416,0.762,0.3948,0.4314,0.9
0.0,0.1,10,copas,strong,reml_hksj,80,1.0,0.0956,0.1159,0.8,0.2751,0.3256,0.8
0.0,0.1,10,copas,strong,trim_and_fill,80,1.0,-0.0574,0.1321,0.3,0.1185,0.4472,0.85
0.0,0.1,10,copas,strong,ubcma,75,0.938,0.0222,0.1462,0.867,0.4334,0.3543,0.838
0.0,0.1,10,copas,strong,vevea_hedges,75,0.938,0.1269,0.2534,0.747,0.5196,0.5121,0.889
0.0,0.1,10,none,strong,adaptshrink_ens,80,1.0,-0.0074,0.0919,0.975,0.5665,0.3969,1.0
0.0,0.1,10,none,strong,adaptshrink_fast,80,1.0,0.0644,0.0933,0.975,0.825,0.3587,0.975
0.0,0.1,10,none,strong,adaptshrink_solo,80,1.0,0.0869,0.157,0.863,0.5969,0.8352,1.0
0.0,0.1,10,none,strong,copas,80,1.0,0.0696,0.085,0.65,0.1954,0.2872,0.975
0.0,0.1,10,none,strong,dl_hksj,80,1.0,0.0682,0.0835,0.75,0.2483,0.2841,0.975
0.0,0.1,10,none,strong,henmi_copas,80,1.0,0.0729,0.0906,0.738,0.2581,0.321,1.0
0.0,0.1,10,none,strong,p_curve,33,0.412,0.2174,0.2474,0.606,0.7928,0.8019,1.0
0.0,0.1,10,none,strong,p_uniform_star,53,0.662,0.0788,0.1226,0.925,0.411,0.4561,1.0
0.0,0.1,10,none,strong,pet_peese,80,1.0,0.0669,0.1444,0.675,0.3397,0.6177,1.0
0.0,0.1,10,none,strong,reml_hksj,80,1.0,0.0688,0.0842,0.762,0.2493,0.2842,0.95
0.0,0.1,10,none,strong,trim_and_fill,80,1.0,-0.0446,0.1103,0.412,0.1174,0.4195,0.975
0.0,0.1,10,none,strong,ubcma,71,0.888,-0.007,0.0916,0.873,0.3389,0.4238,1.0
0.0,0.1,10,none,strong,vevea_hedges,80,1.0,0.0656,0.0959,0.838,0.2952,0.4332,1.0
0.0,0.1,10,step,strong,adaptshrink_ens,80,1.0,0.0865,0.1371,0.75,0.5918,0.3737,0.775
0.0,0.1,10,step,strong,adaptshrink_fast,80,1.0,0.1109,0.1479,0.925,1.2006,0.4995,0.875
0.0,0.1,10,step,strong,adaptshrink_solo,80,1.0,0.157,0.1905,0.662,0.5803,0.5362,0.85
0.0,0.1,10,step,strong,copas,80,1.0,0.164,0.1885,0.362,0.2026,0.5212,0.825
0.0,0.1,10,step,strong,dl_hksj,80,1.0,0.165,0.1897,0.4,0.2892,0.5303,0.825
0.0,0.1,10,step,strong,henmi_copas,80,1.0,0.1614,0.1846,0.438,0.2815,0.5117,0.825
0.0,0.1,10,step,strong,p_curve,57,0.712,0.1785,0.2184,0.632,0.6022,0.5798,0.793
0.0,0.1,10,step,strong,p_uniform_star,53,0.662,0.1022,0.1578,0.811,0.5638,0.5672,0.929
0.0,0.1,10,step,strong,pet_peese,80,1.0,0.1286,0.1841,0.688,0.3834,0.581,0.85
0.0,0.1,10,step,strong,reml_hksj,80,1.0,0.1647,0.1896,0.375,0.2858,0.5212,0.825
0.0,0.1,10,step,strong,trim_and_fill,80,1.0,0.0491,0.1326,0.263,0.1224,0.3685,0.775
0.0,0.1,10,step,strong,ubcma,72,0.9,0.1045,0.171,0.722,0.5033,0.5189,0.857
0.0,0.1,10,step,strong,vevea_hedges,76,0.95,0.1088,0.1523,0.711,0.3655,0.5148,0.921
0.0,0.1,40,copas,strong,adaptshrink_ens,80,1.0,0.0044,0.054,0.988,0.4248,0.2001,0.9
0.0,0.1,40,copas,strong,adaptshrink_fast,80,1.0,0.1188,0.1268,0.787,0.3376,0.335,0.8
0.0,0.1,40,copas,strong,adaptshrink_solo,80,1.0,0.0754,0.0987,0.6,0.2797,0.3019,0.925
0.0,0.1,40,copas,strong,copas,80,1.0,0.1036,0.1075,0.037,0.109,0.2845,0.875
0.0,0.1,40,copas,strong,dl_hksj,80,1.0,0.1035,0.1074,0.05,0.1148,0.2841,0.875
0.0,0.1,40,copas,strong,henmi_copas,80,1.0,0.0962,0.1016,0.175,0.1278,0.2956,0.95
0.0,0.1,40,copas,strong,p_curve,79,0.988,0.2015,0.2204,0.481,0.4137,0.557,0.923
0.0,0.1,40,copas,strong,p_uniform_star,79,0.988,0.1251,0.134,0.228,0.1932,0.3649,0.821
0.0,0.1,40,copas,strong,pet_peese,80,1.0,0.0542,0.0841,0.675,0.1499,0.348,1.0
0.0,0.1,40,copas,strong,reml_hksj,80,1.0,0.1039,0.1079,0.05,0.1155,0.2843,0.875
0.0,0.1,40,copas,strong,trim_and_fill,80,1.0,-0.0562,0.0711,0.225,0.0563,0.2372,0.85
0.0,0.1,40,copas,strong,ubcma,76,0.95,0.0199,0.0598,0.868,0.234,0.2022,0.944
0.0,0.1,40,copas,strong,vevea_hedges,80,1.0,0.1254,0.134,0.2,0.1913,0.3633,0.8
0.0,0.1,40,none,strong,adaptshrink_ens,80,1.0,-0.0131,0.06,0.925,0.5597,0.183,0.825
0.0,0.1,40,none,strong,adaptshrink_fast,80,1.0,0.0719,0.0811,0.912,0.2825,0.2672,0.95
0.0,0.1,40,none,strong,adaptshrink_solo,80,1.0,0.066,0.0896,0.637,0.2415,0.3154,0.975
0.0,0.1,40,none,strong,copas,80,1.0,0.0713,0.0763,0.263,0.1082,0.2296,0.925
0.0,0.1,40,none,strong,dl_hksj,80,1.0,0.0714,0.0763,0.287,0.115,0.2298,0.925
0.0,0.1,40,none,strong,henmi_copas,80,1.0,0.0697,0.0764,0.425,0.1282,0.2411,0.9
0.0,0.1,40,none,strong,p_curve,79,0.988,0.1979,0.2227,0.532,0.4558,0.6513,0.897
0.0,0.1,40,none,strong,p_uniform_star,79,0.988,0.0737,0.0838,0.595,0.1672,0.26,0.925
0.0,0.1,40,none,strong,pet_peese,80,1.0,0.0576,0.0844,0.588,0.1338,0.2882,0.95
0.0,0.1,40,none,strong,reml_hksj,80,1.0,0.0713,0.0763,0.3,0.1155,0.2293,0.925
0.0,0.1,40,none,strong,trim_and_fill,80,1.0,-0.089,0.1022,0.05,0.0546,0.3134,0.875
0.0,0.1,40,none,strong,ubcma,74,0.925,-0.0052,0.0583,0.878,0.2313,0.2198,0.889
0.0,0.1,40,none,strong,vevea_hedges,80,1.0,0.073,0.083,0.625,0.1656,0.2632,0.9
0.0,0.1,40,step,strong,adaptshrink_ens,80,1.0,0.1244,0.1507,0.562,0.4241,0.5045,0.975
0.0,0.1,40,step,strong,adaptshrink_fast,80,1.0,0.1144,0.1435,0.875,0.7687,0.5501,1.0
0.0,0.1,40,step,strong,adaptshrink_solo,80,1.0,0.185,0.1999,0.625,0.4766,0.5951,0.95
0.0,0.1,40,step,strong,copas,80,1.0,0.2094,0.2162,0.05,0.1735,0.5912,0.95
0.0,0.1,40,step,strong,dl_hksj,80,1.0,0.2108,0.2178,0.113,0.2359,0.5919,0.95
0.0,0.1,40,step,strong,henmi_copas,80,1.0,0.205,0.2117,0.15,0.2467,0.5877,0.975
0.0,0.1,40,step,strong,p_curve,74,0.925,0.1822,0.2011,0.446,0.435,0.5644,0.972
0.0,0.1,40,step,strong,p_uniform_star,66,0.825,0.0818,0.1277,0.818,0.433,0.5186,1.0
0.0,0.1,40,step,strong,pet_peese,80,1.0,0.1512,0.1781,0.487,0.2578,0.612,0.95
0.0,0.1,40,step,strong,reml_hksj,80,1.0,0.2098,0.2168,0.113,0.2309,0.5918,0.95
0.0,0.1,40,step,strong,trim_and_fill,80,1.0,0.099,0.1356,0.163,0.1003,0.4688,1.0
0.0,0.1,40,step,strong,ubcma,75,0.938,0.1289,0.1796,0.533,0.3587,0.6811,1.0
0.0,0.1,40,step,strong,vevea_hedges,80,1.0,0.1086,0.1432,0.725,0.3618,0.5275,1.0
0.0,0.3,10,copas,strong,adaptshrink_ens,80,1.0,0.0188,0.226,0.8,0.7623,0.84,0.925
0.0,0.3,10,copas,strong,adaptshrink_fast,80,1.0,0.1969,0.2644,0.812,1.203,0.9289,0.875
0.0,0.3,10,copas,strong,adaptshrink_solo,80,1.0,0.1278,0.3107,0.825,1.3992,1.0488,0.9
0.0,0.3,10,copas,strong,copas,80,1.0,0.1847,0.2142,0.475,0.3722,0.6948,0.95
0.0,0.3,10,copas,strong,dl_hksj,80,1.0,0.1855,0.2148,0.7,0.5188,0.6935,0.95
0.0,0.3,10,copas,strong,henmi_copas,80,1.0,0.1583,0.2126,0.775,0.648,0.77,0.925
0.0,0.3,10,copas,strong,p_curve,65,0.812,0.4079,0.4345,0.292,0.619,1.285,0.939
0.0,0.3,10,copas,strong,p_uniform_star,73,0.912,0.2292,0.288,0.712,0.6672,0.9664,0.895
0.0,0.3,10,copas,strong,pet_peese,80,1.0,0.0841,0.2682,0.512,0.355,0.8641,0.85
0.0,0.3,10,copas,strong,reml_hksj,80,1.0,0.1857,0.2148,0.675,0.4893,0.6929,0.95
0.0,0.3,10,copas,strong,trim_and_fill,80,1.0,-0.0871,0.2358,0.25,0.1232,0.8565,0.95
0.0,0.3,10,copas,strong,ubcma,75,0.938,0.1315,0.2877,0.6,0.4986,1.07,0.946
0.0,0.3,10,copas,strong,vevea_hedges,79,0.988,0.2232,0.2862,0.658,0.6301,0.9391,0.872
0.0,0.3,10,none,strong,adaptshrink_ens,80,1.0,-0.0419,0.2081,0.863,1.3077,0.7138,0.9
0.0,0.3,10,none,strong,adaptshrink_fast,80,1.0,0.0799,0.1762,0.912,0.92,0.8546,1.0
0.0,0.3,10,none,strong,adaptshrink_solo,80,1.0,0.0742,0.2439,0.912,1.2036,0.8298,0.9
0.0,0.3,10,none,strong,copas,80,1.0,0.0725,0.1278,0.812,0.3734,0.4803,0.95
0.0,0.3,10,none,strong,dl_hksj,80,1.0,0.0726,0.128,0.912,0.4823,0.4766,0.95
0.0,0.3,10,none,strong,henmi_copas,80,1.0,0.0826,0.1584,0.925,0.6023,0.6371,1.0
0.0,0.3,10,none,strong,p_curve,57,0.712,0.3695,0.3977,0.368,0.6001,1.2902,1.0
0.0,0.3,10,none,strong,p_uniform_star,80,1.0,0.0802,0.1758,0.9,0.6317,0.8848,1.0
0.0,0.3,10,none,strong,pet_peese,80,1.0,0.0776,0.2326,0.45,0.2782,0.8137,0.975
0.0,0.3,10,none,strong,reml_hksj,80,1.0,0.0723,0.1277,0.912,0.4612,0.4788,0.95
0.0,0.3,10,none,strong,trim_and_fill,80,1.0,-0.1721,0.292,0.125,0.1111,1.1012,0.975
0.0,0.3,10,none,strong,ubcma,65,0.812,-0.0117,0.2115,0.692,0.5385,0.7826,0.906
0.0,0.3,10,none,strong,vevea_hedges,78,0.975,0.0827,0.179,0.897,0.6171,0.9214,1.0
0.0,0.3,10,step,strong,adaptshrink_ens,80,1.0,0.2534,0.3327,0.463,0.6204,1.1034,0.9
0.0,0.3,10,step,strong,adaptshrink_fast,80,1.0,0.0806,0.7522,0.75,2.9371,1.0667,0.925
0.0,0.3,10,step,strong,adaptshrink_solo,80,1.0,0.3405,0.4064,0.613,1.2057,1.6575,1.0
0.0,0.3,10,step,strong,copas,80,1.0,0.3475,0.367,0.2,0.3767,1.0574,1.0
0.0,0.3,10,step,strong,dl_hksj,80,1.0,0.3488,0.3678,0.3,0.5552,1.0574,1.0
0.0,0.3,10,step,strong,henmi_copas,80,1.0,0.346,0.3686,0.362,0.6251,1.082,0.95
0.0,0.3,10,step,strong,p_curve,78,0.975,0.3981,0.4204,0.218,0.4828,1.2952,0.975
0.0,0.3,10,step,strong,p_uniform_star,75,0.938,-8.1141,42.4172,0.6,0.778,1.0466,0.892
0.0,0.3,10,step,strong,pet_peese,80,1.0,0.2921,0.3813,0.388,0.3543,1.4003,1.0
0.0,0.3,10,step,strong,reml_hksj,80,1.0,0.3481,0.3675,0.287,0.5458,1.0574,1.0
0.0,0.3,10,step,strong,trim_and_fill,80,1.0,0.1698,0.278,0.113,0.1333,0.9886,1.0
0.0,0.3,10,step,strong,ubcma,77,0.962,0.3015,0.3978,0.377,0.6268,1.0086,0.718
0.0,0.3,10,step,strong,vevea_hedges,75,0.938,-0.026,1.1736,0.587,1.3869,1.0476,0.923
0.0,0.3,40,copas,strong,adaptshrink_ens,80,1.0,-0.0369,0.1281,0.95,1.6535,0.4658,0.925
0.0,0.3,40,copas,strong,adaptshrink_fast,80,1.0,0.1546,0.1758,0.8,0.5578,0.5338,0.875
0.0,0.3,40,copas,strong,adaptshrink_solo,80,1.0,0.0639,0.1614,0.787,0.7232,0.5688,0.975
0.0,0.3,40,copas,strong,copas,80,1.0,0.1521,0.1609,0.212,0.212,0.491,0.95
0.0,0.3,40,copas,strong,dl_hksj,80,1.0,0.1533,0.162,0.287,0.2395,0.4994,1.0
0.0,0.3,40,copas,strong,henmi_copas,80,1.0,0.1111,0.1306,0.713,0.3082,0.4357,0.95
0.0,0.3,40,copas,strong,p_curve,80,1.0,0.3778,0.3838,0.062,0.2846,0.9069,0.825
0.0,0.3,40,copas,strong,p_uniform_star,80,1.0,0.1725,0.1919,0.525,0.3513,0.5457,0.825
0.0,0.3,40,copas,strong,pet_peese,80,1.0,0.037,0.1165,0.562,0.1331,0.4265,0.95
0.0,0.3,40,copas,strong,reml_hksj,80,1.0,0.1524,0.1611,0.263,0.2247,0.4928,0.975
0.0,0.3,40,copas,strong,trim_and_fill,80,1.0,-0.2114,0.2319,0.013,0.0575,0.7126,0.925
0.0,0.3,40,copas,strong,ubcma,47,0.588,0.0885,0.1989,0.787,0.5071,0.6459,0.864
0.0,0.3,40,copas,strong,vevea_hedges,80,1.0,0.1708,0.1902,0.537,0.353,0.5307,0.775
0.0,0.3,40,none,strong,adaptshrink_ens,80,1.0,-0.04,0.1329,0.9,1.5598,0.4332,0.9
0.0,0.3,40,none,strong,adaptshrink_fast,80,1.0,0.0822,0.1095,0.938,0.4872,0.3691,0.875
0.0,0.3,40,none,strong,adaptshrink_solo,80,1.0,0.0645,0.1422,0.887,0.5607,0.5112,0.925
0.0,0.3,40,none,strong,copas,80,1.0,0.0721,0.0889,0.675,0.2029,0.3006,0.9
0.0,0.3,40,none,strong,dl_hksj,80,1.0,0.0722,0.0889,0.738,0.2201,0.3011,0.925
0.0,0.3,40,none,strong,henmi_copas,80,1.0,0.0674,0.0979,0.775,0.2798,0.2759,0.8
0.0,0.3,40,none,strong,p_curve,80,1.0,0.3851,0.3964,0.05,0.2918,0.9923,0.875
0.0,0.3,40,none,strong,p_uniform_star,80,1.0,0.0889,0.1156,0.875,0.3314,0.3939,0.925
0.0,0.3,40,none,strong,pet_peese,80,1.0,0.0542,0.1278,0.475,0.1265,0.4343,0.95
0.0,0.3,40,none,strong,reml_hksj,80,1.0,0.0721,0.0889,0.738,0.2133,0.3004,0.9
0.0,0.3,40,none,strong,trim_and_fill,80,1.0,-0.2654,0.2837,0.0,0.054,0.9434,0.975
0.0,0.3,40,none,strong,ubcma,56,0.7,0.0161,0.1968,0.786,0.6507,0.6889,0.875
0.0,0.3,40,none,strong,vevea_hedges,80,1.0,0.0891,0.1157,0.875,0.3314,0.3973,0.925
0.0,0.3,40,step,strong,adaptshrink_ens,80,1.0,0.2334,0.2708,0.5,0.7901,0.8499,0.95
0.0,0.3,40,step,strong,adaptshrink_fast,80,1.0,0.1631,0.236,0.738,0.9526,0.8339,0.925
0.0,0.3,40,step,strong,adaptshrink_solo,80,1.0,0.3069,0.334,0.35,0.5911,0.9055,0.875
0.0,0.3,40,step,strong,copas,80,1.0,0.3396,0.3493,0.0,0.2755,0.9017,0.875
0.0,0.3,40,step,strong,dl_hksj,80,1.0,0.3406,0.3501,0.062,0.3329,0.9055,0.875
0.0,0.3,40,step,strong,henmi_copas,80,1.0,0.3293,0.3411,0.1,0.3796,0.8855,0.85
0.0,0.3,40,step,strong,p_curve,80,1.0,0.3796,0.3916,0.075,0.2813,0.9847,0.875
0.0,0.3,40,step,strong,p_uniform_star,79,0.988,0.1305,0.2219,0.709,0.6245,0.8115,0.949
0.0,0.3,40,step,strong,pet_peese,80,1.0,0.2835,0.3247,0.25,0.1981,0.8924,0.8
0.0,0.3,40,step,strong,reml_hksj,80,1.0,0.3402,0.3499,0.05,0.3295,0.9035,0.875
0.0,0.3,40,step,strong,trim_and_fill,80,1.0,0.1279,0.1915,0.05,0.0891,0.6347,0.925
0.0,0.3,40,step,strong,ubcma,68,0.85,0.2931,0.3235,0.221,0.3671,1.0198,1.0
0.0,0.3,40,step,strong,vevea_hedges,79,0.988,0.1329,0.2233,0.734,0.6136,0.8115,0.9
0.2,0.0,10,copas,strong,adaptshrink_ens,80,1.0,0.0108,0.0584,0.988,0.3269,0.1732,0.875
0.2,0.0,10,copas,strong,adaptshrink_fast,80,1.0,0.0626,0.0912,0.938,0.9905,0.2573,0.875
0.2,0.0,10,copas,strong,adaptshrink_solo,80,1.0,0.0445,0.0987,0.787,0.4337,0.2869,0.85
0.2,0.0,10,copas,strong,copas,80,1.0,0.0837,0.0967,0.475,0.1638,0.2858,0.9
0.2,0.0,10,copas,strong,dl_hksj,80,1.0,0.0843,0.0968,0.6,0.205,0.2854,0.9
0.2,0.0,10,copas,strong,henmi_copas,80,1.0,0.0802,0.0935,0.562,0.184,0.2805,0.925
0.2,0.0,10,copas,strong,p_curve,78,0.975,0.0702,0.1121,0.705,0.3774,0.4744,1.0
0.2,0.0,10,copas,strong,p_uniform_star,37,0.462,0.0837,0.1042,0.622,0.5076,0.3165,0.947
0.2,0.0,10,copas,strong,pet_peese,80,1.0,0.0157,0.1017,0.75,0.2967,0.2927,0.875
0.2,0.0,10,copas,strong,reml_hksj,80,1.0,0.085,0.098,0.6,0.2077,0.2938,0.9
0.2,0.0,10,copas,strong,trim_and_fill,80,1.0,-0.0093,0.0671,0.625,0.115,0.282,0.95
0.2,0.0,10,copas,strong,ubcma,79,0.988,0.0125,0.0633,0.987,0.309,0.1976,0.872
