mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.2,0.3,40,copas,strong,adaptshrink_ens_infl,0.938,True,12,2,10,0,-,True
0.2,0.3,40,none,strong,adaptshrink_ens_infl,0.988,True,12,2,4,6,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.2,0.3,40,step,strong,adaptshrink_ens_infl,0.887,True,13,1,11,1,trim_and_fill,False
0.5,0.0,10,copas,strong,adaptshrink_ens_infl,1.0,True,13,11,2,0,-,True
0.5,0.0,10,none,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.5,0.0,10,step,strong,adaptshrink_ens_infl,0.988,True,13,2,11,0,-,True
0.5,0.0,40,copas,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.5,0.0,40,none,strong,adaptshrink_ens_infl,1.0,True,13,11,2,0,-,True
0.5,0.0,40,step,strong,adaptshrink_ens_infl,1.0,True,13,11,2,0,-,True
0.5,0.1,10,copas,strong,adaptshrink_ens_infl,0.988,True,13,1,12,0,-,True
0.5,0.1,10,none,strong,adaptshrink_ens_infl,1.0,True,13,2,11,0,-,True
0.5,0.1,10,step,strong,adaptshrink_ens_infl,1.0,True,13,2,11,0,-,True
0.5,0.1,40,copas,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.5,0.1,40,none,strong,adaptshrink_ens_infl,1.0,True,13,11,2,0,-,True
0.5,0.1,40,step,strong,adaptshrink_ens_infl,0.988,True,13,10,3,0,-,True
0.5,0.3,10,copas,strong,adaptshrink_ens_infl,0.8,False,12,0,5,7,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj",False
0.5,0.3,10,none,strong,adaptshrink_ens_infl,0.85,False,13,1,4,8,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.3,10,step,strong,adaptshrink_ens_infl,0.875,False,12,1,10,1,trim_and_fill,False
0.5,0.3,40,copas,strong,adaptshrink_ens_infl,0.925,True,13,0,13,0,-,True
0.5,0.3,40,none,strong,adaptshrink_ens_infl,0.975,True,13,3,10,0,-,True
0.5,0.3,40,step,strong,adaptshrink_ens_infl,0.975,True,13,3,10,0,-,True
