cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k10_rho-0.4_p0.5,strong,reitsma,400,0.1098,0.1404,0.3553,0.713,0.6227,1.1415,0.94,1.877,1.1881,0.92
k10_rho-0.4_p0.5,strong,reitsma_indep,400,0.0954,0.1259,0.34,0.81,0.6955,1.0279,0.935,1.877,1.3247,0.955
k10_rho-0.4_p0.5,strong,reitsma_reml,400,0.1197,0.1498,0.3628,0.725,0.6937,1.2014,0.94,1.868,1.3169,0.925
k10_rho-0.4_p0.5,strong,sep_univariate,400,0.1077,0.1378,0.35,0.835,0.7976,1.067,0.935,1.862,1.5209,0.975
k10_rho-0.8_p0.1,moderate,adaptshrink_dta,400,-0.204,0.0039,0.4044,0.848,1.0057,1.0418,0.875,1.612,1.6593,0.935
k10_rho-0.8_p0.1,moderate,reitsma,400,-0.1766,0.0058,0.3934,0.845,0.8818,0.9844,0.885,1.572,1.4112,0.92
k10_rho-0.8_p0.1,moderate,reitsma_indep,400,-0.2531,0.0008,0.4338,0.787,0.9027,1.1951,0.855,1.771,1.631,0.915
k10_rho-0.8_p0.1,moderate,reitsma_reml,400,-0.1687,0.0118,0.3897,0.855,0.9511,0.9741,0.885,1.423,1.3799,0.91
k10_rho-0.8_p0.1,moderate,sep_univariate,400,-0.2446,0.0041,0.4256,0.833,0.9687,1.2171,0.865,1.744,1.7334,0.945
k10_rho-0.8_p0.1,none,adaptshrink_dta,400,-0.34,-0.0625,0.467,0.748,0.92,1.8171,0.915,1.907,1.7685,0.925
k10_rho-0.8_p0.1,none,reitsma,400,-0.3179,-0.0603,0.4516,0.693,0.8177,1.6825,0.92,2.347,1.9427,0.935
k10_rho-0.8_p0.1,none,reitsma_indep,400,-0.3747,-0.0653,0.4945,0.682,0.8415,2.2095,0.925,2.639,2.2511,0.94
k10_rho-0.8_p0.1,none,reitsma_reml,400,-0.3113,-0.0551,0.4463,0.725,0.8804,1.5467,0.91,2.319,2.0661,0.955
k10_rho-0.8_p0.1,none,sep_univariate,400,-0.3677,-0.0621,0.4872,0.715,0.9026,2.1899,0.935,2.178,1.9821,0.96
k10_rho-0.8_p0.1,strong,adaptshrink_dta,400,-0.0625,0.067,0.3563,0.885,1.0701,0.9886,0.94,1.268,1.3875,0.925
k10_rho-0.8_p0.1,strong,reitsma,400,-0.0297,0.0692,0.3576,0.882,0.9231,1.1229,0.95,1.42,1.332,0.935
k10_rho-0.8_p0.1,strong,reitsma_indep,400,-0.1209,0.0629,0.3746,0.845,0.9358,0.9322,0.92,1.613,1.5455,0.93
k10_rho-0.8_p0.1,strong,reitsma_reml,400,-0.0207,0.0761,0.3593,0.897,0.9954,1.1555,0.955,1.277,1.291,0.935
k10_rho-0.8_p0.1,strong,sep_univariate,400,-0.1173,0.0676,0.3716,0.865,1.0007,0.9666,0.93,1.345,1.3882,0.91
k10_rho-0.8_p0.3,moderate,adaptshrink_dta,400,-0.0535,0.0092,0.3125,0.9,0.8031,0.8343,0.965,1.554,1.2905,0.96
k10_rho-0.8_p0.3,moderate,reitsma,400,-0.0379,0.0127,0.313,0.88,0.6329,0.8116,0.97,1.544,0.9978,0.95
k10_rho-0.8_p0.3,moderate,reitsma_indep,400,-0.0838,0.0013,0.3172,0.86,0.7368,0.8427,0.96,1.925,1.4791,0.97
k10_rho-0.8_p0.3,moderate,reitsma_reml,400,-0.0294,0.0189,0.3135,0.892,0.6915,0.8049,0.965,1.422,1.0062,0.965
k10_rho-0.8_p0.3,moderate,sep_univariate,400,-0.0658,0.0065,0.3138,0.88,0.8336,0.863,0.96,1.533,1.3307,0.965
k10_rho-0.8_p0.3,none,adaptshrink_dta,400,-0.1384,-0.0553,0.34,0.83,0.7597,1.1136,0.95,1.892,1.4382,0.965
k10_rho-0.8_p0.3,none,reitsma,400,-0.1258,-0.0521,0.335,0.752,0.6058,1.0521,0.95,1.983,1.2014,0.96
k10_rho-0.8_p0.3,none,reitsma_indep,400,-0.165,-0.0616,0.3543,0.757,0.7038,1.2589,0.945,2.426,1.7085,0.975
k10_rho-0.8_p0.3,none,reitsma_reml,400,-0.1178,-0.0466,0.3317,0.797,0.6646,1.0302,0.955,1.849,1.2289,0.96
k10_rho-0.8_p0.3,none,sep_univariate,400,-0.1485,-0.0567,0.3458,0.828,0.7963,1.1915,0.955,1.926,1.5344,0.97
k10_rho-0.8_p0.3,strong,adaptshrink_dta,400,0.0457,0.0769,0.3217,0.9,0.899,0.878,0.955,1.137,1.0603,0.945
k10_rho-0.8_p0.3,strong,reitsma,400,0.0641,0.0797,0.3313,0.855,0.6804,0.9018,0.935,1.488,1.0387,0.95
k10_rho-0.8_p0.3,strong,reitsma_indep,400,0.0071,0.0671,0.3152,0.875,0.7934,0.859,0.96,1.834,1.5128,0.97
k10_rho-0.8_p0.3,strong,reitsma_reml,400,0.0735,0.0865,0.3362,0.86,0.7404,0.9382,0.935,1.507,1.1446,0.955
k10_rho-0.8_p0.3,strong,sep_univariate,400,0.0277,0.0735,0.3183,0.89,0.9073,0.856,0.955,1.427,1.3529,0.96
k10_rho-0.8_p0.5,moderate,adaptshrink_dta,400,-0.0243,0.0297,0.3148,0.88,0.8069,0.7096,0.915,1.693,1.4065,0.945
k10_rho-0.8_p0.5,moderate,reitsma,400,-0.0159,0.0351,0.3162,0.855,0.6108,0.7277,0.925,1.67,1.037,0.945
k10_rho-0.8_p0.5,moderate,reitsma_indep,400,-0.0422,0.0158,0.3145,0.855,0.7474,0.6611,0.9,2.068,1.5865,0.94
k10_rho-0.8_p0.5,moderate,reitsma_reml,400,-0.0079,0.0425,0.3178,0.865,0.6728,0.7364,0.925,1.639,1.1201,0.955
k10_rho-0.8_p0.5,moderate,sep_univariate,400,-0.0316,0.0251,0.3159,0.87,0.8401,0.6762,0.905,1.767,1.5141,0.945
k10_rho-0.8_p0.5,none,adaptshrink_dta,400,-0.0852,-0.0682,0.3292,0.828,0.7263,0.8946,0.935,2.126,1.5436,0.96
k10_rho-0.8_p0.5,none,reitsma,400,-0.0781,-0.064,0.3275,0.762,0.5652,0.8105,0.925,2.734,1.5258,0.975
k10_rho-0.8_p0.5,none,reitsma_indep,400,-0.1001,-0.0792,0.3352,0.802,0.6866,0.9548,0.94,2.663,1.8218,0.97
k10_rho-0.8_p0.5,none,reitsma_reml,400,-0.0708,-0.0573,0.3251,0.805,0.6237,0.7943,0.93,2.408,1.4842,0.965
k10_rho-0.8_p0.5,none,sep_univariate,400,-0.0905,-0.0705,0.3317,0.845,0.7749,0.8925,0.935,2.25,1.7234,0.975
k10_rho-0.8_p0.5,strong,adaptshrink_dta,400,0.0583,0.1077,0.3401,0.887,0.863,0.8748,0.95,1.388,1.2462,0.95
k10_rho-0.8_p0.5,strong,reitsma,400,0.0675,0.1158,0.3471,0.84,0.6333,0.8877,0.935,1.63,1.0538,0.955
k10_rho-0.8_p0.5,strong,reitsma_indep,400,0.0377,0.0876,0.3286,0.855,0.7663,0.7731,0.95,1.593,1.2538,0.925
k10_rho-0.8_p0.5,strong,reitsma_reml,400,0.0764,0.1237,0.3521,0.848,0.6918,0.9338,0.935,1.611,1.1363,0.95
k10_rho-0.8_p0.5,strong,sep_univariate,400,0.049,0.1008,0.3358,0.877,0.8744,0.8073,0.95,1.548,1.3951,0.96
k10_rho0.0_p0.1,moderate,adaptshrink_dta,400,-0.1667,0.0388,0.3835,0.812,0.9148,1.2905,0.965,1.976,1.8294,0.98
k10_rho0.0_p0.1,moderate,reitsma,400,-0.1607,0.0392,0.3858,0.802,0.8672,1.3357,0.965,2.366,2.0762,0.99
k10_rho0.0_p0.1,moderate,reitsma_indep,400,-0.1815,0.0378,0.3883,0.802,0.8818,1.3192,0.965,2.002,1.7865,0.965
k10_rho0.0_p0.1,moderate,reitsma_reml,400,-0.1497,0.0456,0.3816,0.835,0.9477,1.3135,0.965,2.109,2.0242,0.985
k10_rho0.0_p0.1,moderate,sep_univariate,400,-0.1739,0.0417,0.3842,0.835,0.9485,1.3051,0.965,1.881,1.8139,0.98
k10_rho0.0_p0.1,none,adaptshrink_dta,400,-0.3433,-0.0726,0.4855,0.67,0.8745,1.7009,0.95,2.211,1.9544,0.935
k10_rho0.0_p0.1,none,reitsma,400,-0.3398,-0.0729,0.4856,0.65,0.8317,1.67,0.945,2.549,2.1456,0.935
k10_rho0.0_p0.1,none,reitsma_indep,400,-0.3579,-0.0733,0.4937,0.642,0.8431,1.7157,0.945,2.395,2.0492,0.93
k10_rho0.0_p0.1,none,reitsma_reml,400,-0.3303,-0.0672,0.4782,0.688,0.9076,1.679,0.95,2.342,2.1638,0.94
k10_rho0.0_p0.1,none,sep_univariate,400,-0.3498,-0.0704,0.4856,0.688,0.9079,1.7195,0.945,2.219,2.0535,0.945
k10_rho0.0_p0.1,strong,adaptshrink_dta,400,0.0034,0.1379,0.3719,0.855,0.9582,1.2122,0.925,1.993,1.9171,0.965
k10_rho0.0_p0.1,strong,reitsma,400,0.018,0.1387,0.3798,0.818,0.9003,1.2099,0.92,2.298,2.0809,0.975
k10_rho0.0_p0.1,strong,reitsma_indep,400,-0.0222,0.1362,0.3702,0.848,0.9053,1.2366,0.925,1.995,1.8219,0.97
k10_rho0.0_p0.1,strong,reitsma_reml,400,0.0275,0.1459,0.3827,0.833,0.9761,1.2874,0.92,2.076,2.0377,0.975
k10_rho0.0_p0.1,strong,sep_univariate,400,-0.0193,0.1423,0.371,0.855,0.9732,1.261,0.94,1.743,1.7175,0.95
k10_rho0.0_p0.3,moderate,adaptshrink_dta,400,0.0029,0.0597,0.3275,0.848,0.707,1.1413,0.95,1.664,1.2013,0.935
k10_rho0.0_p0.3,moderate,reitsma,400,0.0031,0.0594,0.3295,0.795,0.6528,1.1563,0.96,2.563,1.7098,0.965
k10_rho0.0_p0.3,moderate,reitsma_indep,400,-0.0045,0.057,0.3261,0.833,0.6931,1.1796,0.96,1.852,1.3084,0.935
k10_rho0.0_p0.3,moderate,reitsma_reml,400,0.0157,0.0675,0.333,0.828,0.7327,1.2031,0.955,2.133,1.5922,0.96
k10_rho0.0_p0.3,moderate,sep_univariate,400,0.0114,0.0633,0.3282,0.868,0.7878,1.1716,0.955,1.49,1.1941,0.925
k10_rho0.0_p0.3,none,adaptshrink_dta,400,-0.1326,-0.0659,0.3465,0.792,0.7109,1.0658,0.945,2.523,1.8478,0.955
k10_rho0.0_p0.3,none,reitsma,400,-0.1346,-0.0669,0.3483,0.723,0.6615,1.0678,0.945,2.871,1.9625,0.96
k10_rho0.0_p0.3,none,reitsma_indep,400,-0.1381,-0.0672,0.3488,0.77,0.7036,1.0783,0.945,2.401,1.7505,0.95
k10_rho0.0_p0.3,none,reitsma_reml,400,-0.1233,-0.0597,0.3432,0.77,0.7424,1.0417,0.95,2.262,1.7354,0.95
k10_rho0.0_p0.3,none,sep_univariate,400,-0.1238,-0.0618,0.3425,0.833,0.7939,1.0609,0.955,2.158,1.7766,0.965
k10_rho0.0_p0.3,strong,adaptshrink_dta,400,0.1284,0.1533,0.3788,0.785,0.725,1.419,0.955,1.92,1.3996,0.91
k10_rho0.0_p0.3,strong,reitsma,400,0.1318,0.1543,0.3824,0.728,0.661,1.4571,0.955,2.7,1.813,0.95
k10_rho0.0_p0.3,strong,reitsma_indep,400,0.1151,0.1496,0.3727,0.765,0.6933,1.3701,0.955,1.922,1.3408,0.9
k10_rho0.0_p0.3,strong,reitsma_reml,400,0.1436,0.163,0.3911,0.735,0.7361,1.5125,0.955,2.634,1.9734,0.955
k10_rho0.0_p0.3,strong,sep_univariate,400,0.1317,0.1583,0.3811,0.807,0.7925,1.5794,0.97,1.839,1.4745,0.92
k10_rho0.0_p0.5,moderate,adaptshrink_dta,400,0.0328,0.038,0.325,0.845,0.7022,1.0148,0.955,1.84,1.3075,0.95
k10_rho0.0_p0.5,moderate,reitsma,400,0.0324,0.0376,0.3264,0.802,0.6566,1.0773,0.96,1.996,1.3178,0.955
k10_rho0.0_p0.5,moderate,reitsma_indep,400,0.0299,0.0344,0.3232,0.845,0.6939,1.0031,0.945,1.763,1.2355,0.955
k10_rho0.0_p0.5,moderate,reitsma_reml,400,0.0429,0.0483,0.3297,0.833,0.7417,1.1153,0.965,1.734,1.293,0.955
k10_rho0.0_p0.5,moderate,sep_univariate,400,0.04,0.0457,0.3275,0.875,0.7866,1.0554,0.95,1.478,1.1704,0.955
k10_rho0.0_p0.5,none,adaptshrink_dta,400,-0.0773,-0.0901,0.3289,0.8,0.689,0.9031,0.92,2.548,1.7837,0.955
k10_rho0.0_p0.5,none,reitsma,400,-0.0795,-0.0918,0.3315,0.745,0.6383,0.9375,0.92,2.959,1.9144,0.94
k10_rho0.0_p0.5,none,reitsma_indep,400,-0.0795,-0.0925,0.3286,0.797,0.6892,0.9144,0.92,2.324,1.6237,0.95
k10_rho0.0_p0.5,none,reitsma_reml,400,-0.0705,-0.0822,0.327,0.795,0.7199,0.9337,0.93,2.74,1.9994,0.955
k10_rho0.0_p0.5,none,sep_univariate,400,-0.0715,-0.083,0.3259,0.845,0.7763,0.8181,0.895,1.656,1.3055,0.95
k10_rho0.0_p0.5,strong,adaptshrink_dta,400,0.1457,0.1573,0.3931,0.72,0.6905,1.5498,0.97,2.506,1.7556,0.975
k10_rho0.0_p0.5,strong,reitsma,400,0.1469,0.1591,0.3969,0.647,0.632,1.5391,0.975,3.12,1.9739,0.98
k10_rho0.0_p0.5,strong,reitsma_indep,400,0.1403,0.1509,0.3879,0.713,0.6682,1.5227,0.97,2.374,1.6132,0.965
k10_rho0.0_p0.5,strong,reitsma_reml,400,0.1585,0.1705,0.4072,0.665,0.7136,1.5878,0.97,2.926,2.0856,0.975
k10_rho0.0_p0.5,strong,sep_univariate,400,0.1542,0.1645,0.3996,0.743,0.7744,1.613,0.97,2.144,1.6849,0.965
k20_rho-0.4_p0.1,moderate,adaptshrink_dta,400,-0.2108,0.021,0.3112,0.81,0.461,0.7028,0.95,2.139,0.9827,0.97
k20_rho-0.4_p0.1,moderate,reitsma,400,-0.2072,0.0213,0.309,0.79,0.4364,0.7139,0.96,2.147,0.9344,0.96
k20_rho-0.4_p0.1,moderate,reitsma_indep,400,-0.2355,0.0188,0.329,0.76,0.4477,0.7714,0.945,2.31,1.0274,0.945
k20_rho-0.4_p0.1,moderate,reitsma_reml,400,-0.2014,0.0244,0.3054,0.81,0.456,0.718,0.96,2.12,0.9633,0.96
k20_rho-0.4_p0.1,moderate,sep_univariate,400,-0.2369,0.0197,0.3289,0.745,0.4552,0.7582,0.94,2.113,0.9535,0.95
k20_rho-0.4_p0.1,none,adaptshrink_dta,400,-0.3838,-0.0558,0.4496,0.445,0.4458,1.2986,0.95,3.257,1.4954,0.955
k20_rho-0.4_p0.1,none,reitsma,400,-0.3805,-0.0552,0.4472,0.403,0.4266,1.2934,0.955,3.627,1.5832,0.945
k20_rho-0.4_p0.1,none,reitsma_indep,400,-0.3994,-0.0575,0.4633,0.42,0.4373,1.3025,0.945,3.47,1.5655,0.95
k20_rho-0.4_p0.1,none,reitsma_reml,400,-0.3759,-0.0524,0.4428,0.432,0.4459,1.2696,0.95,3.555,1.6244,0.95
k20_rho-0.4_p0.1,none,sep_univariate,400,-0.3965,-0.0575,0.4595,0.435,0.4483,1.3163,0.945,3.286,1.5034,0.96
k20_rho-0.4_p0.1,strong,adaptshrink_dta,400,-0.0357,0.0981,0.264,0.887,0.5051,0.7562,0.975,1.747,0.8899,0.985
k20_rho-0.4_p0.1,strong,reitsma,400,-0.0279,0.0982,0.2656,0.87,0.4673,0.7792,0.985,1.763,0.8289,0.985
k20_rho-0.4_p0.1,strong,reitsma_indep,400,-0.0787,0.0952,0.272,0.843,0.4772,0.6642,0.955,1.821,0.8746,0.975
k20_rho-0.4_p0.1,strong,reitsma_reml,400,-0.0224,0.1015,0.2657,0.877,0.4869,0.7627,0.975,1.696,0.8301,0.985
k20_rho-0.4_p0.1,strong,sep_univariate,400,-0.0887,0.0965,0.2725,0.838,0.4791,0.6453,0.955,1.984,0.9582,0.985
k20_rho-0.4_p0.3,moderate,adaptshrink_dta,400,-0.0318,0.0216,0.2291,0.905,0.3779,0.3532,0.895,1.305,0.4944,0.95
k20_rho-0.4_p0.3,moderate,reitsma,400,-0.0315,0.0215,0.2289,0.873,0.3524,0.3589,0.895,1.405,0.4955,0.945
k20_rho-0.4_p0.3,moderate,reitsma_indep,400,-0.0446,0.0169,0.2313,0.882,0.3816,0.3472,0.885,1.218,0.4641,0.895
k20_rho-0.4_p0.3,moderate,reitsma_reml,400,-0.0254,0.0252,0.2288,0.892,0.3733,0.3571,0.9,1.309,0.4894,0.945
k20_rho-0.4_p0.3,moderate,sep_univariate,400,-0.0349,0.0199,0.2314,0.897,0.4085,0.3516,0.9,1.173,0.4782,0.91
k20_rho-0.4_p0.3,none,adaptshrink_dta,400,-0.1581,-0.057,0.2779,0.755,0.3789,0.7074,0.96,2.197,0.8338,0.945
k20_rho-0.4_p0.3,none,reitsma,400,-0.1585,-0.0571,0.2783,0.728,0.3584,0.7084,0.96,2.663,0.9503,0.94
k20_rho-0.4_p0.3,none,reitsma_indep,400,-0.1662,-0.0609,0.283,0.75,0.3858,0.728,0.955,2.169,0.8424,0.94
k20_rho-0.4_p0.3,none,reitsma_reml,400,-0.1526,-0.0537,0.2747,0.745,0.3804,0.696,0.96,2.436,0.9234,0.94
k20_rho-0.4_p0.3,none,sep_univariate,400,-0.1592,-0.0596,0.2798,0.775,0.4055,0.7097,0.955,2.091,0.8521,0.96
k20_rho-0.4_p0.3,strong,adaptshrink_dta,400,0.0894,0.1103,0.2733,0.838,0.3972,0.7585,0.95,1.902,0.7638,0.97
k20_rho-0.4_p0.3,strong,reitsma,400,0.0904,0.1098,0.2737,0.755,0.3506,0.7962,0.955,2.298,0.8072,0.965
k20_rho-0.4_p0.3,strong,reitsma_indep,400,0.0672,0.1026,0.2638,0.848,0.3906,0.7295,0.955,1.827,0.7199,0.945
k20_rho-0.4_p0.3,strong,reitsma_reml,400,0.0967,0.1138,0.2776,0.76,0.3706,0.818,0.955,2.277,0.8438,0.97
k20_rho-0.4_p0.3,strong,sep_univariate,400,0.0771,0.1068,0.2693,0.858,0.4204,0.7869,0.965,1.781,0.7554,0.955
k20_rho-0.4_p0.5,moderate,adaptshrink_dta,400,0.0118,0.0191,0.2209,0.895,0.3802,0.4116,0.94,1.373,0.5318,0.965
k20_rho-0.4_p0.5,moderate,reitsma,400,0.0107,0.0183,0.2206,0.88,0.3519,0.4134,0.945,1.574,0.5617,0.955
k20_rho-0.4_p0.5,moderate,reitsma_indep,400,0.0042,0.011,0.2201,0.892,0.3863,0.4082,0.955,1.413,0.5562,0.965
k20_rho-0.4_p0.5,moderate,reitsma_reml,400,0.0158,0.0232,0.2219,0.892,0.3737,0.4201,0.94,1.435,0.5439,0.955
k20_rho-0.4_p0.5,moderate,sep_univariate,400,0.009,0.0172,0.2235,0.902,0.412,0.4281,0.955,1.444,0.6016,0.97
k20_rho-0.4_p0.5,none,adaptshrink_dta,400,-0.0982,-0.0761,0.2567,0.777,0.3715,0.629,0.97,1.984,0.7463,0.96
k20_rho-0.4_p0.5,none,reitsma,400,-0.0991,-0.0767,0.257,0.743,0.3511,0.6353,0.97,2.374,0.8411,0.94
k20_rho-0.4_p0.5,none,reitsma_indep,400,-0.1034,-0.0819,0.2605,0.792,0.3792,0.6565,0.96,1.93,0.7421,0.96
k20_rho-0.4_p0.5,none,reitsma_reml,400,-0.0947,-0.0722,0.2546,0.772,0.3727,0.6487,0.97,2.218,0.8337,0.94
k20_rho-0.4_p0.5,none,sep_univariate,400,-0.1004,-0.078,0.26,0.802,0.3973,0.6441,0.955,2.0,0.8074,0.965
k20_rho-0.4_p0.5,strong,adaptshrink_dta,400,0.1096,0.1191,0.271,0.787,0.3899,0.7183,0.945,2.084,0.8367,0.975
k20_rho-0.4_p0.5,strong,reitsma,400,0.1091,0.1184,0.2711,0.695,0.3442,0.7372,0.945,2.634,0.9241,0.955
k20_rho-0.4_p0.5,strong,reitsma_indep,400,0.0967,0.1058,0.2591,0.823,0.3886,0.6633,0.945,1.8,0.7233,0.96
k20_rho-0.4_p0.5,strong,reitsma_reml,400,0.1143,0.1233,0.2757,0.693,0.365,0.7547,0.945,2.627,0.9774,0.955
k20_rho-0.4_p0.5,strong,sep_univariate,400,0.1031,0.1131,0.2667,0.83,0.4181,0.7113,0.95,1.756,0.7564,0.975
k20_rho-0.8_p0.1,moderate,adaptshrink_dta,400,-0.1965,0.0085,0.3013,0.86,0.4852,0.5757,0.9,1.505,0.7326,0.945
k20_rho-0.8_p0.1,moderate,reitsma,400,-0.1832,0.0095,0.2934,0.843,0.4343,0.5651,0.905,1.425,0.622,0.93
k20_rho-0.8_p0.1,moderate,reitsma_indep,400,-0.2478,0.0043,0.3374,0.76,0.4497,0.7003,0.895,1.976,0.8913,0.895
k20_rho-0.8_p0.1,moderate,reitsma_reml,400,-0.1796,0.0125,0.2911,0.855,0.4504,0.5252,0.895,1.36,0.6158,0.925
k20_rho-0.8_p0.1,moderate,sep_univariate,400,-0.2484,0.0052,0.336,0.77,0.4595,0.7082,0.905,1.998,0.9254,0.92
k20_rho-0.8_p0.1,none,adaptshrink_dta,400,-0.3603,-0.0572,0.4292,0.497,0.4627,1.3782,0.955,2.947,1.402,0.97
k20_rho-0.8_p0.1,none,reitsma,400,-0.344,-0.055,0.4165,0.435,0.4176,1.2731,0.935,2.909,1.2397,0.955
