cell,strength,method,n_reps,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,robust_win_vs_HC,ours_beats_reitsma_reml,ours_beats_reitsma_indep,ours_beats_sep_univariate,ours_beats_hsroc,frac_vs_reitsma_reml,frac_vs_reitsma_indep,frac_vs_sep_univariate,frac_vs_hsroc
k20_p0.3_sparse,none,reitsma_reml,600,-0.3351,-0.1889,0.4701,0.362,0.5481,1.7256,0.943,3.975,False,,,,,,,,
k20_p0.3_sparse,none,sep_univariate,600,-0.3716,-0.2068,0.5026,0.377,0.5784,2.0321,0.93,3.87,False,,,,,,,,
k20_p0.3_sparse,strong,adaptshrink_dta,600,-0.072,0.0112,0.2812,0.905,0.6358,0.6334,0.943,1.353,False,False,True,False,True,0.177,0.996,0.967,1.0
k20_p0.3_sparse,strong,hsroc,600,0.0881,0.1361,0.3301,0.802,0.5969,1.1955,0.987,1.847,False,,,,,,,,
k20_p0.3_sparse,strong,reitsma,600,-0.0553,0.0196,0.2804,0.89,0.5661,0.6517,0.953,1.455,,,,,,,,,
k20_p0.3_sparse,strong,reitsma_indep,600,-0.1107,-0.0063,0.2964,0.852,0.5888,0.6359,0.917,1.711,False,,,,,,,,
k20_p0.3_sparse,strong,reitsma_reml,600,-0.0485,0.027,0.2789,0.91,0.594,0.6319,0.95,1.376,False,,,,,,,,
k20_p0.3_sparse,strong,sep_univariate,600,-0.1129,0.0022,0.2954,0.868,0.6122,0.6497,0.933,1.693,False,,,,,,,,
k6_p0.1_sparse,moderate,adaptshrink_dta,600,-0.4026,-0.0647,0.6622,0.768,2.2745,3.7812,0.95,2.221,False,False,False,False,False,0.009,0.965,0.324,0.0
k6_p0.1_sparse,moderate,hsroc,600,-0.2537,0.0361,0.5995,0.813,2.2386,3.2334,0.94,2.251,True,,,,,,,,
k6_p0.1_sparse,moderate,reitsma,600,-0.3789,-0.0604,0.648,0.75,2.1551,3.7308,0.95,2.221,,,,,,,,,
k6_p0.1_sparse,moderate,reitsma_indep,600,-0.4214,-0.0683,0.6792,0.725,2.1118,3.9076,0.947,2.381,False,,,,,,,,
k6_p0.1_sparse,moderate,reitsma_reml,600,-0.3689,-0.0412,0.64,0.798,2.4264,3.6792,0.95,1.786,False,,,,,,,,
k6_p0.1_sparse,moderate,sep_univariate,600,-0.4181,-0.0499,0.6731,0.773,2.3873,3.7941,0.953,1.99,False,,,,,,,,
k6_p0.1_sparse,none,adaptshrink_dta,600,-0.5608,-0.1828,0.7781,0.677,2.3165,4.7412,0.917,2.567,False,False,False,False,False,0.011,0.66,0.111,0.0
k6_p0.1_sparse,none,hsroc,600,-0.4278,-0.0878,0.6812,0.74,2.2645,3.6802,0.923,2.152,True,,,,,,,,
k6_p0.1_sparse,none,reitsma,600,-0.5413,-0.1797,0.7627,0.643,2.1901,4.8169,0.917,2.81,,,,,,,,,
k6_p0.1_sparse,none,reitsma_indep,600,-0.5778,-0.1854,0.7942,0.635,2.1478,4.8181,0.917,2.913,False,,,,,,,,
k6_p0.1_sparse,none,reitsma_reml,600,-0.5325,-0.161,0.7487,0.71,2.4835,4.3023,0.923,2.157,True,,,,,,,,
k6_p0.1_sparse,none,sep_univariate,600,-0.5735,-0.1695,0.785,0.688,2.4428,4.5731,0.927,2.349,False,,,,,,,,
