cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
sparse_k6_t0.6_p0.1,none,reitsma_indep,200,-0.5285,-0.1587,0.7378,0.59,1.9198,3.7494,0.9,2.321,4.3583,0.95
sparse_k6_t0.6_p0.1,none,sep_univariate,200,-0.5252,-0.146,0.7295,0.665,2.1777,3.6399,0.91,2.121,4.5019,0.97
sparse_k6_t0.6_p0.1,strong,adaptshrink_dta,200,-0.1239,0.136,0.9353,0.705,2.0608,7.8184,0.95,8.091,16.5895,0.96
sparse_k6_t0.6_p0.1,strong,reitsma,200,-0.2059,0.0309,0.5168,0.81,1.9723,1.9788,0.92,1.414,2.7803,0.87
sparse_k6_t0.6_p0.1,strong,reitsma_indep,200,-0.2519,0.0246,0.553,0.795,1.9319,2.4908,0.94,1.979,3.8382,0.95
sparse_k6_t0.6_p0.1,strong,sep_univariate,200,-0.2513,0.0438,0.55,0.845,2.1654,2.4435,0.95,1.446,3.132,0.93
sparse_k6_t0.6_p0.3,none,adaptshrink_dta,200,-0.1706,-0.0542,0.9004,0.635,1.5881,7.3863,1.0,8.243,12.6451,0.99
sparse_k6_t0.6_p0.3,none,reitsma,200,-0.2704,-0.1615,0.5444,0.675,1.4505,2.6034,0.92,2.648,3.7372,0.94
sparse_k6_t0.6_p0.3,none,reitsma_indep,200,-0.2984,-0.175,0.57,0.64,1.4452,3.1458,0.95,2.675,3.7426,0.93
sparse_k6_t0.6_p0.3,none,sep_univariate,200,-0.2893,-0.1608,0.5571,0.695,1.7022,3.0435,0.95,2.252,3.6576,0.94
sparse_k6_t0.6_p0.3,strong,adaptshrink_dta,200,-0.0946,-0.0118,0.7695,0.785,1.7349,4.9968,0.95,3.153,5.5757,0.93
sparse_k6_t0.6_p0.3,strong,reitsma,200,-0.0417,0.0214,0.477,0.85,1.5673,1.8193,0.92,1.555,2.4945,0.9
sparse_k6_t0.6_p0.3,strong,reitsma_indep,200,-0.0986,0.0033,0.492,0.82,1.5373,1.9014,0.9,2.355,3.757,0.96
sparse_k6_t0.6_p0.3,strong,sep_univariate,200,-0.0806,0.0196,0.4797,0.845,1.7904,1.8765,0.91,1.765,3.2761,0.96
sparse_k6_t0.8_p0.1,none,adaptshrink_dta,200,-0.3338,0.0512,1.2452,0.58,2.4492,10.3959,0.92,9.554,22.7683,0.95
sparse_k6_t0.8_p0.1,none,reitsma,200,-0.5473,-0.1814,0.7806,0.59,2.2903,5.1835,0.95,2.861,6.4278,0.96
sparse_k6_t0.8_p0.1,none,reitsma_indep,200,-0.5933,-0.1873,0.8272,0.56,2.2453,5.6407,0.95,3.211,7.0792,0.95
sparse_k6_t0.8_p0.1,none,sep_univariate,200,-0.5854,-0.1692,0.8126,0.635,2.5728,5.7461,0.96,2.313,5.8882,0.94
sparse_k6_t0.8_p0.1,strong,adaptshrink_dta,200,-0.1892,0.1569,0.9711,0.73,2.5511,7.8889,0.94,9.121,22.7492,0.96
sparse_k6_t0.8_p0.1,strong,reitsma,200,-0.2663,0.0538,0.6106,0.805,2.3937,2.6411,0.9,1.796,4.2211,0.93
sparse_k6_t0.8_p0.1,strong,reitsma_indep,200,-0.324,0.04,0.6527,0.78,2.334,2.9301,0.92,2.251,5.1917,0.94
sparse_k6_t0.8_p0.1,strong,sep_univariate,200,-0.3205,0.0672,0.6507,0.82,2.671,2.8713,0.91,1.809,4.769,0.94
sparse_k6_t0.8_p0.3,none,adaptshrink_dta,200,-0.2208,-0.1022,1.0116,0.57,1.9758,6.4614,0.96,6.731,12.932,0.96
sparse_k6_t0.8_p0.3,none,reitsma,200,-0.3069,-0.1991,0.633,0.605,1.7273,3.8199,0.96,3.457,5.8362,0.96
sparse_k6_t0.8_p0.3,none,reitsma_indep,200,-0.3487,-0.2182,0.6691,0.57,1.7658,4.287,0.97,3.702,6.423,0.97
sparse_k6_t0.8_p0.3,none,sep_univariate,200,-0.3342,-0.1982,0.6493,0.685,2.1551,4.0704,0.98,2.092,4.4136,0.94
sparse_k6_t0.8_p0.3,strong,adaptshrink_dta,200,-0.0118,0.1034,0.9474,0.76,2.1359,8.334,0.95,9.913,22.2037,0.99
sparse_k6_t0.8_p0.3,strong,reitsma,200,-0.0637,0.0392,0.5234,0.865,1.8519,1.9799,0.89,1.684,3.2505,0.93
sparse_k6_t0.8_p0.3,strong,reitsma_indep,200,-0.1188,0.0048,0.5389,0.81,1.8707,2.1101,0.89,2.447,4.7891,0.91
sparse_k6_t0.8_p0.3,strong,sep_univariate,200,-0.1006,0.0328,0.5235,0.885,2.2496,2.0977,0.88,1.851,4.3995,0.94
