target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
DPP4,sparse,296,nma,-0.606432132997184,-0.5436043628031846,-1.0206456610147656,-0.06656306459160355,True,,
DPP4,sparse,296,borrow,-0.606432132997184,-0.5729640232749942,-0.9504959773698987,-0.19543206918008976,True,1.0,0.1315979829649129
DPP4,sparse,296,shrink_mean,-0.606432132997184,-0.5596485647199003,-0.9053123103016611,-0.21398481913813955,True,1.0,0.03801710640695656
DPP4,sparse,297,nma,-0.606432132997184,-0.88406355926069,-1.366670321689812,-0.40145679683156804,True,,
DPP4,sparse,297,borrow,-0.606432132997184,-0.8647265190894775,-1.1517345230108367,-0.5777185151681182,True,1.0,0.10061377580324041
DPP4,sparse,297,shrink_mean,-0.606432132997184,-0.8330199107384563,-1.1661890845459255,-0.49985073693098714,True,1.0,0.39797762544222054
DPP4,sparse,298,nma,-0.606432132997184,-0.521742668477323,-1.019913700396942,-0.02357163655770389,True,,
DPP4,sparse,298,borrow,-0.606432132997184,-0.5470500637041291,-0.7496244841343502,-0.344475643273908,True,1.0,0.16286219779945146
DPP4,sparse,298,shrink_mean,-0.606432132997184,-0.5394135562575088,-0.7184952500302771,-0.36033186248474036,True,1.0,0.05522854772225459
DPP4,sparse,299,nma,-0.606432132997184,-0.7689313352176568,-1.2559722510787534,-0.2818904193565602,True,,
DPP4,sparse,299,borrow,-0.606432132997184,-0.7588160027008238,-1.2057920837835119,-0.31183992161813584,True,1.0,0.006494872595384915
DPP4,sparse,299,shrink_mean,-0.606432132997184,-0.721846840398302,-1.1627059829518427,-0.2809876978447614,True,1.0,0.09787599708671484
DPP4,rich,0,nma,-0.606432132997184,-0.6287976735335041,-0.8655095795885787,-0.3920857674784296,True,,
DPP4,rich,0,borrow,-0.606432132997184,-0.6320607416540265,-0.7983967071734652,-0.46572477613458774,True,1.0,0.042242927428058484
DPP4,rich,0,shrink_mean,-0.606432132997184,-0.6279375522369302,-0.7883594285524547,-0.46751567592140564,True,1.0,5.957708883290846e-05
DPP4,rich,1,nma,-0.606432132997184,-0.5625421439491349,-0.7945757684782689,-0.3305085194200009,True,,
DPP4,rich,1,borrow,-0.606432132997184,-0.568267907953487,-0.7471200172598726,-0.3894157986471014,True,1.0,0.12365279814599514
DPP4,rich,1,shrink_mean,-0.606432132997184,-0.5620806394242311,-0.7232251724428149,-0.40093610640564736,True,1.0,0.029247013821214776
DPP4,rich,2,nma,-0.606432132997184,-0.6205921524510232,-0.855771174012665,-0.38541313088938134,True,,
DPP4,rich,2,borrow,-0.606432132997184,-0.6236461702853019,-0.8057149677432941,-0.4415773728273097,True,1.0,0.05065301320300152
DPP4,rich,2,shrink_mean,-0.606432132997184,-0.6188293264081303,-0.7932574229846511,-0.44440122983160946,True,1.0,0.0002865991965738066
DPP4,rich,3,nma,-0.606432132997184,-0.600778551062227,-0.8370414241319821,-0.36451567799247186,True,,
DPP4,rich,3,borrow,-0.606432132997184,-0.6056581941700845,-0.7643298523072126,-0.4469865360329564,True,1.0,0.06996686036465231
DPP4,rich,3,shrink_mean,-0.606432132997184,-0.6013146159821542,-0.750529494996749,-0.45209973696755934,True,1.0,0.00408957594185376
DPP4,rich,4,nma,-0.606432132997184,-0.6409684790976291,-0.8762633144375906,-0.4056736437576675,True,,
DPP4,rich,4,borrow,-0.606432132997184,-0.6444979406751378,-0.8381724281570798,-0.4508234531931957,True,1.0,0.03201506391323732
