mu,tau,selection,quality_bias,k,design_mix,method,replicate,true_mu,k_published,mu_hat,ci_low,ci_high,converged
0.2,0.0,none,moderate,30,all_rct,pet_peese,19,0.2,13,0.23206292760318806,0.14564592240444535,0.31847993280193077,True
0.2,0.0,none,moderate,30,all_rct,copas,19,0.2,13,0.27483118811686164,0.21216170660165892,0.3375006696320644,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,19,0.2,13,0.25649644079817013,0.1919810361643354,0.3210118454320049,True
0.2,0.0,none,moderate,30,all_rct,ubcma,19,0.2,13,0.23120479884896655,0.154926120367831,0.30628518684831707,True
0.2,0.0,none,moderate,30,all_rct,dl,20,0.2,14,0.26772613914050297,0.20282825183726766,0.3326240264437383,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,20,0.2,14,0.26772613914050297,0.19619381179327638,0.33925846648772956,True
0.2,0.0,none,moderate,30,all_rct,reml,20,0.2,14,0.2819645439913611,0.20453789140012324,0.359391196582599,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,20,0.2,14,0.2819645439913611,0.19662108117655985,0.3673080068061624,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,20,0.2,14,0.16083302457152412,0.11045368291238886,0.2112123662306594,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,20,0.2,14,0.15030258990861947,-0.009758103918201866,0.3103632837354408,True
0.2,0.0,none,moderate,30,all_rct,copas,20,0.2,14,0.2739378642375724,0.20017970223368378,0.347696026241461,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,20,0.2,14,0.2602548638834503,0.1828990712505495,0.33761065651635114,True
0.2,0.0,none,moderate,30,all_rct,ubcma,20,0.2,14,0.2108431226783522,0.09771060753057509,0.3336761750306547,True
0.2,0.0,none,moderate,30,all_rct,dl,21,0.2,17,0.2612810842657908,0.19279055237712522,0.3297716161544563,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,21,0.2,17,0.2612810842657908,0.18720279778759463,0.3353593707439869,True
0.2,0.0,none,moderate,30,all_rct,reml,21,0.2,17,0.2602577225444278,0.18910028573835513,0.3314151593505005,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,21,0.2,17,0.2602577225444278,0.183293539246134,0.3372219058427216,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,21,0.2,17,0.07517599235040806,0.03810702343469035,0.11224496126612576,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,21,0.2,17,0.30636050713825935,0.23354493455432898,0.3791760797221897,True
0.2,0.0,none,moderate,30,all_rct,copas,21,0.2,17,0.2609792744170942,0.19231441044692987,0.3296441383872585,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,21,0.2,17,0.23588925800004795,0.17101474097060948,0.3007637750294864,True
0.2,0.0,none,moderate,30,all_rct,ubcma,21,0.2,17,0.16989032340556787,0.06730220829537602,0.2728538753505637,True
0.2,0.0,none,moderate,30,all_rct,dl,22,0.2,12,0.27355925978793083,0.193916039777574,0.35320247979828767,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,22,0.2,12,0.27355925978793083,0.18412377746920183,0.36299474210665983,True
0.2,0.0,none,moderate,30,all_rct,reml,22,0.2,12,0.2735592629833125,0.19391750075958125,0.3532010252070438,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,22,0.2,12,0.2735592629833125,0.18412377429033283,0.3629947516762922,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,22,0.2,12,0.15058166711673993,0.09153345750092787,0.20962987673255198,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,22,0.2,12,0.11252989243155144,-0.15464068752391263,0.3797004723870155,True
0.2,0.0,none,moderate,30,all_rct,copas,22,0.2,12,0.2711292199743507,0.1914874628504269,0.3507709770982745,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,22,0.2,12,0.25279615771908204,0.16391345655131978,0.3416788588868443,True
0.2,0.0,none,moderate,30,all_rct,ubcma,22,0.2,12,0.2301054227835433,0.10654581445124867,0.3409668136396968,True
0.2,0.0,none,moderate,30,all_rct,dl,23,0.2,13,0.23959656121779396,0.1822981644607805,0.2968949579748074,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,23,0.2,13,0.23959656121779396,0.17590141735374087,0.30329170508184705,True
0.2,0.0,none,moderate,30,all_rct,reml,23,0.2,13,0.23669554493903613,0.17523507040528008,0.2981560194727922,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,23,0.2,13,0.23669554493903613,0.1683724168163484,0.30501867306172387,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,23,0.2,13,0.18545789541004415,0.13619931002507368,0.23471648079501461,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,23,0.2,13,0.2608944093969741,0.1838606467726642,0.337928172021284,True
0.2,0.0,none,moderate,30,all_rct,copas,23,0.2,13,0.23959671776238892,0.18229937211983366,0.2968940634049442,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,23,0.2,13,0.23130575357607847,0.16650353066543522,0.2961079764867217,True
0.2,0.0,none,moderate,30,all_rct,ubcma,23,0.2,13,0.19897231137904287,0.10229925253694863,0.2875803605133802,True
0.2,0.0,none,moderate,30,all_rct,dl,24,0.2,6,0.24674247213642608,0.15849443999598725,0.33499050427686494,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,24,0.2,6,0.24674247213642608,0.13097172230956805,0.3625132219632841,True
0.2,0.0,none,moderate,30,all_rct,reml,24,0.2,6,0.246895383680209,0.15913197659246325,0.33465879076795474,True
