nct_id,drug_class,published,abs_md_pct
NCT01648582,SU,1,0.57
NCT01648582,insulin,1,0.57
NCT00676338,metformin,1,0.1
NCT00676338,DPP4,1,0.1
NCT00676338,GLP1,1,0.1
NCT00676338,TZD,1,0.1
NCT00673231,SGLT2,1,0.52
NCT01558271,GLP1,1,1.57
NCT01095653,metformin,0,0.75
NCT01095653,SGLT2,0,0.75
NCT00637273,DPP4,1,0.63
NCT00637273,GLP1,1,0.63
NCT00637273,TZD,1,0.63
NCT00680745,metformin,1,0.49
NCT00680745,SGLT2,1,0.49
NCT00680745,SU,1,0.49
NCT00680745,TZD,1,0.49
NCT01318083,DPP4,1,0.936
NCT01318083,SU,1,0.936
NCT01318083,DPP4,1,0.196
NCT01318083,SU,1,0.196
NCT01318083,DPP4,1,0.41
NCT01318083,SU,1,0.41
NCT01318083,DPP4,1,0.695
NCT01318083,SU,1,0.695
NCT02973321,metformin,1,0.956
NCT02973321,GLP1,1,0.956
NCT01468181,SU,0,1.77
NCT05260021,GLP1,1,1.67
NCT03954834,GLP1,1,1.93
NCT04657003,GLP1,1,1.97
NCT00528372,metformin,1,2.19
NCT00528372,SGLT2,1,2.19
NCT00528372,metformin,1,0.52
NCT00528372,SGLT2,1,0.52
NCT01768559,metformin,1,0.05
NCT01768559,GLP1,1,0.05
NCT01768559,insulin,1,0.05
NCT04867785,GLP1,1,1.83
NCT04867785,GLP1,1,0.47
NCT04867785,GLP1,1,0.57
NCT05048719,GLP1,1,1.36
NCT05048719,GLP1,1,0.69
NCT00736879,SGLT2,1,0.69
NCT00676338,metformin,1,0.05
NCT00676338,DPP4,1,0.05
NCT00676338,GLP1,1,0.05
NCT00676338,TZD,1,0.05
NCT00673231,SGLT2,1,0.45
NCT00680745,metformin,1,0.44
NCT00680745,SGLT2,1,0.44
NCT00680745,SU,1,0.44
NCT00680745,TZD,1,0.44
NCT03954834,GLP1,1,1.91
NCT00528372,metformin,1,1.45
NCT00528372,SGLT2,1,1.45
NCT00528372,metformin,1,0.37
NCT00528372,SGLT2,1,0.37
NCT04867785,GLP1,1,1.94
NCT04867785,GLP1,1,0.58
NCT04867785,GLP1,1,0.77
NCT05048719,GLP1,1,1.49
NCT05048719,GLP1,1,0.81
NCT04867785,GLP1,1,1.25
NCT04867785,GLP1,1,0.11
NCT04867785,GLP1,1,0.14
NCT05048719,GLP1,1,0.77
NCT05048719,GLP1,1,0.09
NCT04867785,GLP1,1,1.34
NCT04867785,GLP1,1,0.01
NCT04867785,GLP1,1,0.06
NCT04867785,GLP1,1,0.38
NCT04867785,GLP1,1,0.98
NCT04867785,GLP1,1,0.82
NCT04867785,GLP1,1,1.85
NCT04867785,GLP1,1,1.63
NCT04867785,GLP1,1,1.83
NCT04867785,GLP1,1,1.2
NCT04867785,GLP1,1,0.99
NCT04867785,GLP1,1,0.24
NCT00701090,metformin,1,0.07
NCT00701090,DPP4,1,0.07
NCT00701090,SU,1,0.07
NCT00372060,DPP4,0,0.8
NCT00372060,TZD,0,0.8
NCT00789750,TZD,1,0.32
NCT00789750,TZD,1,0.17
NCT00789750,TZD,1,0.21
NCT00789750,TZD,1,0.36
NCT01624259,metformin,1,0.06
NCT01624259,GLP1,1,0.06
NCT00984867,SGLT2,1,0.48
NCT00984867,SGLT2,1,0.83
NCT03018938,insulin,1,0.158
NCT03018938,insulin,1,0.201
NCT02058147,metformin,1,0.29
NCT02058147,GLP1,1,0.29
NCT02058147,insulin,1,0.29
NCT01318109,metformin,0,0.858
NCT01318109,DPP4,0,0.858
NCT01318109,metformin,0,0.192
NCT01318109,DPP4,0,0.192
NCT01318109,metformin,0,0.403
NCT01318109,DPP4,0,0.403
NCT01318109,metformin,0,0.621
NCT01318109,DPP4,0,0.621
NCT01217892,metformin,0,0.35
NCT01217892,SGLT2,0,0.35
NCT00960076,metformin,1,0.52
NCT00960076,DPP4,1,0.52
NCT01169779,metformin,1,0.36
NCT01169779,GLP1,1,0.36
NCT01169779,SU,1,0.36
NCT00434954,GLP1,1,0.14
NCT00434954,insulin,1,0.14
NCT03311724,GLP1,0,2.0
NCT01263496,DPP4,0,0.708
NCT01263496,AGI,0,0.708
NCT01263496,DPP4,0,0.647
NCT01263496,AGI,0,0.647
NCT01263496,DPP4,0,0.583
NCT01263496,AGI,0,0.583
NCT01263496,DPP4,0,0.533
NCT01263496,AGI,0,0.533
NCT01263496,DPP4,0,0.467
NCT01263496,AGI,0,0.467
NCT01263496,DPP4,0,0.487
NCT01263496,AGI,0,0.487
NCT01263496,DPP4,0,0.488
NCT01263496,AGI,0,0.488
NCT01263496,DPP4,0,0.49
NCT01263496,AGI,0,0.49
NCT01263496,DPP4,0,0.435
