ma,family,specialty,yi,se,year,nct,condition,intervention,prespecified,corpus_specialty
aact_spondylart_secukinuma,LOR,clinical_medicine,1.5496879080283263,0.29025660490225735,2016,NCT02721966,spondylarthropathies,secukinumab,0,1
aact_spondylart_secukinuma,LOR,clinical_medicine,1.7101878155342434,0.2395831957520882,2011,NCT01392326,spondylarthropathies,secukinumab,1,1
aact_spondylart_secukinuma,LOR,clinical_medicine,1.5216989981260935,0.18904244732151265,2015,NCT02404350,spondylarthropathies,secukinumab,1,1
aact_spondylart_secukinuma,LOR,clinical_medicine,0.7701082216960737,0.24419635508663445,2016,NCT02696031,spondylarthropathies,secukinumab,0,1
aact_spondylart_secukinuma,LOR,clinical_medicine,0.9042181506398859,0.20532294891347747,2016,NCT02896127,spondylarthropathies,secukinumab,1,1
aact_spondylart_secukinuma,LOR,clinical_medicine,-0.5108256237659907,0.5186119597299667,2016,NCT02798211,spondylarthropathies,secukinumab,0,1
aact_spondylart_secukinuma,LOR,clinical_medicine,0.4885800148186709,0.322503799633762,2016,NCT02771210,spondylarthropathies,secukinumab,1,1
aact_spondylart_secukinuma,LOR,clinical_medicine,1.0681530811834012,0.47355410737336706,2013,NCT01752634,spondylarthropathies,secukinumab,0,1
aact_carcinoma_antibodies,LOR,oncology,1.7404661748405046,0.3004342991588618,2017,NCT02998528,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,0.26236426446749106,0.5937042016949513,2018,NCT03382912,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,-0.21072103131565253,0.28934287637866374,2013,NCT01951586,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,0.4382549309311553,0.17101517107352376,2017,NCT03117049,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,0.23901690047049992,0.26984942133926176,2017,NCT02864251,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,0.14842000511827322,0.35475025408326916,2008,NCT00700180,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",1,1
aact_carcinoma_antibodies,LOR,oncology,-0.35667494393873245,0.21296250956847929,2014,NCT02041533,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,0.009950330853168092,0.23054299895193472,2016,NCT02810457,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_carcinoma_antibodies,LOR,oncology,1.8931119634883424,0.3415531043598306,2019,NCT04025879,"carcinoma, bronchogenic","antibodies, monoclonal, humanized",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.21072103131565253,0.28206626872041035,2019,NCT03952130,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.2231435513142097,0.32812105546540027,2019,NCT03740919,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.10436001532424286,0.16057217661618067,2022,NCT05462756,diabetes mellitus,"insulin, short-acting",0,1
