ma,specialty,y,within,within_sd,mu_cold,sd_cold,aact
aact_diabetesme_purines,clinical_medicine,0.5838901946229957,0.4710344728167744,0.71486118503964,0.9736339545446718,0.734848420536957,True
aact_diabetesme_purines,clinical_medicine,0.009950330853168,0.8354455035277635,0.7854417444990461,0.5193872181171831,0.7418340634929004,True
aact_diabetesme_glucagon-l,clinical_medicine,3.779405480813307,2.69377888322971,0.8853032159428064,0.8169670820883811,0.5081654318075882,True
aact_diabetesme_glucagon-l,clinical_medicine,3.805773205585436,2.6966229768280088,0.8839728641626489,0.8181952802363952,0.5084116424929909,True
aact_diabetesme_glucagon-l,clinical_medicine,2.222459048514761,2.9049451072660957,0.9568000794214735,0.6621483952748403,0.5073735615061656,True
aact_diabetesme_glucagon-l,clinical_medicine,3.4326960487215263,2.761642219889642,0.899548900377431,0.698305934747313,0.5283923004540579,True
aact_diabetesme_glucagon-l,clinical_medicine,4.034948352265444,2.7547767743629827,0.8941696789200668,0.4753093936498263,0.5404922354681551,True
aact_diabetesme_glucagon-l,clinical_medicine,1.1085626195212777,3.0759782519632797,0.5920798336109412,0.7241409208826807,0.5075317712845083,True
aact_diabetesme_glucagon-l,clinical_medicine,3.393837027255863,2.681310944536073,0.9252580364125487,0.7650037613301092,0.5072399524056053,True
aact_diabetesme_glucagon-l,clinical_medicine,2.73046379593911,2.7739598404190584,0.9052416463419335,0.7069656071391167,0.5256431966265919,True
aact_diabetesme_glucagon-l,clinical_medicine,3.5319332036512097,2.6812318006161404,0.9069534504460953,0.801809984782423,0.5092867239120931,True
aact_diabetesme_glucagon-l,clinical_medicine,3.6958550678503617,2.7591367191159613,0.8971106567715454,0.5329798930176878,0.5374953054050926,True
aact_diabetesme_glucagon-l,clinical_medicine,2.827313621929028,2.757056424895248,0.9963167362485988,0.6907878022126482,0.509053119452896,True
aact_diabetesme_glucagon-l,clinical_medicine,3.631515136724365,2.737778903811384,0.898186551406589,0.7838423320887417,0.5131788050272755,True
aact_carcinoma_taxoids,oncology,2.0844290831908747,0.4127293676350078,0.4321263303595695,0.3968083212711746,0.7461797849010973,True
aact_carcinoma_taxoids,oncology,-0.3011050927839216,0.5116515297814351,0.49547498588162187,0.3816198139492236,0.7445078943573102,True
aact_carcinoma_taxoids,oncology,1.5432981099295553,0.39396244809416714,0.49652902376402097,0.3648435212450788,0.7472343645435399,True
aact_carcinoma_taxoids,oncology,0.5158131652770298,0.47567609324839616,0.48040469774567046,0.21825054329982752,0.7425378149135484,True
aact_carcinoma_taxoids,oncology,-0.3147107448397002,0.5170098632585731,0.5077300809739962,0.3774493996453291,0.7449496882597961,True
aact_carcinoma_taxoids,oncology,0.5653138090500605,0.46980595077648035,0.5438496502211432,0.305108579391526,0.7433250373895585,True
aact_carcinoma_taxoids,oncology,-0.2613647641344075,0.5351797184124929,0.5591419223789352,0.3729074203955184,0.7488810979601823,True
aact_carcinoma_taxoids,oncology,0.4762341789963717,0.4799245722746252,0.5290499642944122,0.29667643251081477,0.7426112536089554,True
aact_carcinoma_taxoids,oncology,0.494696241836107,0.4706292985822529,0.6247619211243886,0.13503872536941663,0.747372077349416,True
aact_carcinoma_taxoids,oncology,-0.1278333715098848,0.5187859748464587,0.5501934616677078,0.36769968980643264,0.74664796062021,True
