rep,method,spearman,top1_correct
74,common_DL,0.8999999999999998,0
74,comp_specific,0.8999999999999998,0
74,adaptshrink,0.8999999999999998,0
75,common_DL,0.9999999999999999,1
75,comp_specific,0.9999999999999999,1
75,adaptshrink,0.9999999999999999,1
76,common_DL,0.8999999999999998,1
76,comp_specific,0.8999999999999998,1
76,adaptshrink,0.8999999999999998,1
77,common_DL,0.9999999999999999,1
77,comp_specific,0.7,1
77,adaptshrink,0.7,1
78,common_DL,0.9999999999999999,1
78,comp_specific,0.9999999999999999,1
78,adaptshrink,0.9999999999999999,1
79,common_DL,0.7999999999999999,1
79,comp_specific,0.6,0
79,adaptshrink,0.8999999999999998,1
