cell,tau,selection,n,ncontrast,reps,nscored,dMCIW0,dMCIW0_lo,dMCIW0_hi,MCIW0_robust,dMCIW,dMCIW_lo,dMCIW_hi,MCIW_robust,mciw0_auto,mciw0_DL,bias_auto,bias_DL,rawcov_auto,rawcov_DL,covunif_auto,covunif_DL,spearman_auto,spearman_DL,top1_auto,top1_DL,secs,d_rawcov
t20_moderate_n10,0.2,moderate,10,9,600,600,-0.004274857421540212,-0.011601718042836552,0.0032122557112698675,False,0.001239236064587923,-0.005376106062625732,0.011044914968668365,False,0.30383399749940065,0.3055188235925708,0.034899448071812125,0.04595058554451771,0.8688888888888888,0.832037037037037,0.08111111111111106,0.11796296296296292,0.9775151515151514,0.9765858585858584,0.9266666666666666,0.9166666666666666,479.5,0.0368518518518518
t20_moderate_n12,0.2,moderate,12,11,600,600,-0.0203747693985189,-0.02646432499024451,-0.011897266588117832,True,-0.0150788566248366,-0.02171056632340268,-0.006157843807557883,True,0.26989229632675366,0.2895547151995604,0.033256594800220834,0.04777539256937079,0.8748484848484849,0.8206060606060605,0.07515151515151511,0.1293939393939394,0.9830769230769232,0.9810839160839163,0.93,0.9266666666666666,755.1,0.054242424242424425
t30_moderate_n5,0.3,moderate,5,4,600,600,0.002504110254062497,-0.01142814078571836,0.02028318232690607,False,0.03673774882291647,0.013396525411974178,0.05693180497393932,False,0.5674565621063599,0.5495285296610323,0.06962653074543321,0.0777302604784394,0.8558333333333333,0.8466666666666667,0.09416666666666662,0.1033333333333333,0.9299999999999998,0.9274999999999998,0.89,0.885,94.4,0.009166666666666656
t30_moderate_n6,0.3,moderate,6,5,600,600,0.010518108429350748,-0.0033393128585039286,0.022348419735702913,False,0.014922895900986555,-0.0007952035724592977,0.03591569431295849,False,0.49179554974403034,0.4819159610007187,0.058373663120439546,0.06828221249163371,0.8616666666666667,0.8503333333333334,0.08833333333333329,0.09966666666666664,0.9411428571428572,0.9418095238095238,0.8983333333333333,0.8983333333333333,143.6,0.011333333333333306
t30_moderate_n8,0.3,moderate,8,7,600,600,-0.008622723152808487,-0.021722971547601277,0.0014484805469563255,False,0.012272676724336129,-0.001730466444244956,0.025831867145642177,False,0.430437167660385,0.44866982305655284,0.06339189619534448,0.07683509215397587,0.8378571428571429,0.8114285714285714,0.11214285714285709,0.13857142857142854,0.9577380952380954,0.9552380952380953,0.8783333333333333,0.8716666666666667,248.8,0.026428571428571468
t30_moderate_n10,0.3,moderate,10,9,600,600,-0.006525039994037862,-0.018547003187473116,0.000664797695291657,False,0.010469430890959641,-0.00188472818378599,0.021956482661253482,False,0.4047445824123707,0.4077407485816474,0.05668623474505236,0.07139472077225843,0.824074074074074,0.7881481481481482,0.12592592592592589,0.1618518518518518,0.9675555555555555,0.9644444444444443,0.8966666666666666,0.8933333333333333,468.8,0.035925925925925806
t30_moderate_n12,0.3,moderate,12,11,600,600,-0.025633069107381223,-0.03277022808682642,-0.013932967491490193,True,-0.008210552932152504,-0.018881577065546985,0.0017443317304277148,False,0.3575990398518378,0.38512464604795954,0.053949400355913404,0.07344630880653312,0.8395454545454545,0.7586363636363636,0.1104545454545454,0.19136363636363632,0.9754662004662006,0.9731351981351982,0.9016666666666666,0.89,731.0,0.08090909090909093
t05_none_n5,0.05,none,5,4,600,600,0.0016835958405513052,-0.002845201725396776,0.008076915734479533,False,0.008692570169900854,0.0019875448475921995,0.014801340179247637,False,0.1650724752578342,0.16428472615390058,0.00048096213915626814,0.0005586449974469976,0.9595833333333333,0.9566666666666667,0.009583333333333388,0.00666666666666671,0.9753333333333333,0.9778333333333332,0.9583333333333334,0.9666666666666667,116.7,0.0029166666666666785
t05_none_n6,0.05,none,6,5,600,600,0.005731922097203301,0.0015750526811721109,0.009308239113259802,False,0.004589187152473612,0.0009943360284103728,0.010485405517022801,False,0.1650933735703383,0.1614964572019907,0.0012426959532334234,0.0011834000287549897,0.9513333333333334,0.9466666666666667,0.003333333333333366,0.0033333333333332993,0.9823809523809524,0.9831428571428571,0.9566666666666667,0.965,186.8,0.004666666666666708
t05_none_n8,0.05,none,8,7,600,600,0.006931522474160123,0.001747138278185218,0.009555367751802275,False,0.006555328935376609,0.0023452226055389463,0.008823466999518978,False,0.14042739088886616,0.13633368372793495,0.0008479939824264268,0.0009150975969239361,0.9492857142857142,0.9473809523809523,0.007857142857142865,0.005952380952380963,0.9873412698412699,0.9878174603174604,0.9666666666666667,0.9683333333333334,489.3,0.0019047619047618536
t05_none_n10,0.05,none,10,9,600,600,0.003088808756895628,0.0005224500289258745,0.005156880814669644,False,0.003745389030462898,0.0010963931846212584,0.005609512789233072,False,0.12019894831471484,0.11641402259521655,0.0007083975312157755,0.0006307967085337552,0.9527777777777777,0.9481481481481482,0.004629629629629662,0.004814814814814803,0.9909898989898989,0.991171717171717,0.965,0.9716666666666667,930.1,0.004629629629629539
t05_none_n12,0.05,none,12,11,600,600,0.0018879952192493443,0.0001985621468334007,0.003504041609149564,False,0.0019617153857733882,0.00011139787442338987,0.0033945606090374112,False,0.11071642863663898,0.10769807236313228,0.0006832689521346891,0.0006260230871755115,0.9522727272727273,0.9478787878787877,0.0065151515151515346,0.0057575757575757495,0.9926456876456876,0.9927622377622378,0.9516666666666667,0.9516666666666667,1416.1,0.0043939393939396165
t10_none_n5,0.1,none,5,4,600,600,0.002051379657558361,-0.002278448131585591,0.00974845127433943,False,0.010201975554485265,0.00375428838734772,0.018528212230344693,False,0.18124640854017227,0.18107744052308639,0.0013348107228892104,0.0011837543016318217,0.9491666666666667,0.9500000000000001,0.003333333333333327,0.00416666666666668,0.9711666666666665,0.9743333333333332,0.9466666666666667,0.9566666666666667,102.5,-0.0008333333333333526
