rep,method,spearman,top1_correct
121,adaptshrink,0.9515151515151514,1
121,adaptshrink_auto,0.9878787878787878,1
122,common_DL,0.9878787878787878,1
122,comp_specific,0.9636363636363635,1
122,adaptshrink,0.9878787878787878,1
122,adaptshrink_auto,0.9878787878787878,1
123,common_DL,0.9393939393939393,1
123,comp_specific,0.9393939393939393,1
123,adaptshrink,0.9393939393939393,1
123,adaptshrink_auto,0.9878787878787878,1
124,common_DL,0.9999999999999999,1
124,comp_specific,0.9999999999999999,1
124,adaptshrink,0.9999999999999999,1
124,adaptshrink_auto,0.9878787878787878,1
125,common_DL,0.9636363636363635,1
125,comp_specific,0.9272727272727272,1
125,adaptshrink,0.9636363636363635,1
125,adaptshrink_auto,0.9757575757575757,1
126,common_DL,0.9515151515151514,1
126,comp_specific,0.9515151515151514,1
126,adaptshrink,0.9515151515151514,1
126,adaptshrink_auto,0.9636363636363635,1
127,common_DL,0.9878787878787878,1
127,comp_specific,0.9878787878787878,1
127,adaptshrink,0.9878787878787878,1
127,adaptshrink_auto,0.9757575757575757,1
128,common_DL,0.9030303030303028,1
128,comp_specific,0.9030303030303028,1
128,adaptshrink,0.9030303030303028,1
128,adaptshrink_auto,0.9757575757575757,1
129,common_DL,0.9757575757575757,1
129,comp_specific,0.9757575757575757,1
129,adaptshrink,0.9757575757575757,1
129,adaptshrink_auto,0.9878787878787878,1
130,common_DL,0.9878787878787878,1
130,comp_specific,0.9878787878787878,1
130,adaptshrink,0.9878787878787878,1
130,adaptshrink_auto,0.9878787878787878,1
131,common_DL,0.9515151515151514,0
131,comp_specific,0.9151515151515152,0
131,adaptshrink,0.9515151515151514,0
131,adaptshrink_auto,0.9878787878787878,1
132,common_DL,0.9636363636363635,1
132,comp_specific,0.9636363636363635,1
132,adaptshrink,0.9636363636363635,1
132,adaptshrink_auto,0.9878787878787878,1
133,common_DL,0.9636363636363635,1
133,comp_specific,0.9636363636363635,1
133,adaptshrink,0.9636363636363635,1
133,adaptshrink_auto,0.9878787878787878,1
134,common_DL,0.8666666666666665,0
134,comp_specific,0.8666666666666665,0
134,adaptshrink,0.8666666666666665,0
134,adaptshrink_auto,0.8666666666666665,0
135,common_DL,0.9515151515151514,1
135,comp_specific,0.9757575757575757,1
135,adaptshrink,0.9757575757575757,1
135,adaptshrink_auto,0.9757575757575757,1
136,common_DL,0.9757575757575757,1
136,comp_specific,0.9757575757575757,1
136,adaptshrink,0.9757575757575757,1
136,adaptshrink_auto,0.9757575757575757,1
137,common_DL,0.9636363636363635,1
137,comp_specific,0.9636363636363635,1
137,adaptshrink,0.9636363636363635,1
137,adaptshrink_auto,0.9757575757575757,1
138,common_DL,0.9636363636363635,1
138,comp_specific,0.9636363636363635,1
138,adaptshrink,0.9636363636363635,1
138,adaptshrink_auto,0.9636363636363635,1
139,common_DL,0.9878787878787878,1
139,comp_specific,0.9878787878787878,1
139,adaptshrink,0.9878787878787878,1
139,adaptshrink_auto,0.9878787878787878,1
140,common_DL,0.9878787878787878,1
140,comp_specific,0.9999999999999999,1
140,adaptshrink,0.9878787878787878,1
140,adaptshrink_auto,0.9878787878787878,1
141,common_DL,0.9878787878787878,1
141,comp_specific,0.9878787878787878,1
141,adaptshrink,0.9878787878787878,1
141,adaptshrink_auto,0.9999999999999999,1
142,common_DL,0.9999999999999999,1
142,comp_specific,0.9999999999999999,1
