method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink_auto,8,1000,-0.048981896672991555,0.10237988673993749,0.878,0.31907789833295713,0.4260008708995344,0.962,0.42535946883875636,0.948,1.3350863415689305
adaptshrink_auto,9,1000,-0.04999402802197903,0.1037209788454845,0.877,0.332516732506886,0.378893977575428,0.914,0.42407614850646314,0.912,1.2746143116339448
common_DL,1,1000,-0.03129784942625006,0.07681756067003244,0.894,0.2450690757073437,0.31813667255252875,0.962,0.3117004385745471,0.968,1.2658567189084422
common_DL,2,1000,-0.04032103914321311,0.08173681847047654,0.864,0.24567882370035515,0.32203251465355975,0.942,0.3015881708767866,0.946,1.2308127775771138
common_DL,3,1000,-0.05613062879904856,0.09064602124558127,0.83,0.24524343925648068,0.3496980204592306,0.956,0.34422297845389405,0.954,1.399791401232526
common_DL,4,1000,-0.06570276164251053,0.09809175135241173,0.777,0.24723830873065822,0.36032034932180707,0.932,0.3461880924124985,0.926,1.3937140350996566
common_DL,5,1000,-0.0795595089387813,0.10774807795484148,0.722,0.24840462476446856,0.3869393829498729,0.942,0.4055334623024398,0.968,1.6296841328715352
common_DL,6,1000,-0.08974026136434012,0.11980466370318991,0.651,0.25261531614329913,0.4285517779045603,0.956,0.4391166936537637,0.962,1.7481892298157888
common_DL,7,1000,-0.10317897730352983,0.12855786223463883,0.603,0.25812049264582887,0.4662111414292153,0.944,0.4463759951503205,0.954,1.738417574485946
common_DL,8,1000,-0.11570454624882501,0.14236504959903806,0.565,0.26542069235231414,0.5222512565716352,0.95,0.4938446046665987,0.942,1.876404485741967
common_DL,9,1000,-0.12942350510667475,0.15333637056528293,0.491,0.27220459150777027,0.5023852280529283,0.922,0.5321589999345476,0.938,1.9648718993094336
comp_specific,1,1000,-0.030135587292723354,0.08028589840762186,0.868,0.23868957414078443,0.33863782454624913,0.964,0.3203541005310819,0.96,1.345009096013622
comp_specific,2,1000,-0.03930185893829047,0.08447457434422809,0.835,0.23836353320232007,0.32884163241278613,0.936,0.315246955054935,0.93,1.3300292699505736
comp_specific,3,1000,-0.05364027634727518,0.09206251533524519,0.806,0.23830686077481436,0.3512598017940355,0.954,0.33467381931856477,0.938,1.4079335230317025
comp_specific,4,1000,-0.06343886622033149,0.09928061296511698,0.759,0.23962301857401186,0.37173649973299366,0.932,0.366667931607656,0.932,1.5226148490009903
comp_specific,5,1000,-0.07667424865539964,0.10782924393837152,0.701,0.24146691207340212,0.3961214626786629,0.944,0.400826677368216,0.948,1.6595544195678729
comp_specific,6,1000,-0.08778525671587344,0.12062781400139291,0.646,0.24589136728271377,0.43818279230254603,0.952,0.44022149317158193,0.952,1.8095952143720138
comp_specific,7,1000,-0.10028033721031755,0.12888807859786364,0.605,0.2520918638158578,0.47420711511267527,0.946,0.4656255623088209,0.954,1.8673613672778626
comp_specific,8,1000,-0.11302657442602602,0.1434088511122283,0.557,0.2597386911397676,0.5406776107786596,0.954,0.5150692725566599,0.942,2.007306572242097
comp_specific,9,1000,-0.12641772819414757,0.1533662375915586,0.491,0.2681226219943923,0.5084039639880565,0.92,0.5297626253638734,0.934,1.991882315837388
