strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
none,30,two_stage_fixed,0.045,0.03990878555962005,0.029367097932596526,0.05045047318664357,True
none,30,one_stage,0.045,0.03990878555962005,0.029367097932596526,0.05045047318664357,True
none,30,trend_pet,0.045,0.16909187647600532,0.06576723981118163,0.27241651314082904,True
none,30,trend_peese,0.045,0.10106262246093355,0.04840847393876586,0.15371677098310124,True
none,30,adaptshrink,0.045,0.03956206405249811,0.024696708265795467,0.054427419839200755,True
none,31,two_stage_reml,0.045,0.04421195519208897,0.03217143638891019,0.05625247399526774,True
none,31,two_stage_fixed,0.045,0.044559338338687325,0.0341561503039266,0.05496252637344805,True
none,31,one_stage,0.045,0.044559338338687325,0.0341561503039266,0.05496252637344805,True
none,31,trend_pet,0.045,0.140628683428062,0.010411863737379068,0.27084550311874495,True
none,31,trend_peese,0.045,0.0906070299786092,0.027343445889733795,0.1538706140674846,True
none,31,adaptshrink,0.045,0.044465136148723466,0.030668669982791184,0.05826160231465575,True
none,32,two_stage_reml,0.045,0.04979614493868522,0.03953980183400016,0.06005248804337028,True
none,32,two_stage_fixed,0.045,0.04979614493868522,0.03953980183400016,0.06005248804337028,True
none,32,one_stage,0.045,0.04979614493868522,0.03953980183400016,0.06005248804337028,True
none,32,trend_pet,0.045,0.06903373100176295,-0.05071034250507703,0.18877780450860293,True
none,32,trend_peese,0.045,0.059655947238509886,-0.0003057606384524597,0.11961765511547223,True
none,32,adaptshrink,0.045,0.04979614493868522,0.036796840414741336,0.0627954494626291,True
none,33,two_stage_reml,0.045,0.04352570953116005,0.028187654604608415,0.05886376445771169,True
none,33,two_stage_fixed,0.045,0.0448185889095548,0.03431249503527266,0.05532468278383694,True
none,33,one_stage,0.045,0.0448185889095548,0.03431249503527266,0.05532468278383694,True
none,33,trend_pet,0.045,0.31139458529435576,0.13448018680181392,0.4883089837868976,True
none,33,trend_peese,0.045,0.17212114959130637,0.08550579503194967,0.25873650415066307,True
none,33,adaptshrink,0.045,0.04457823196065073,0.02974122467369204,0.059415239247609414,True
none,34,two_stage_reml,0.045,0.04306416866272596,0.02396171605251176,0.062166621272940155,True
none,34,two_stage_fixed,0.045,0.04644896949062666,0.03631167165136271,0.056586267329890604,True
none,34,one_stage,0.045,0.04644896949062666,0.03631167165136271,0.056586267329890604,True
none,34,trend_pet,0.045,0.2930772161655841,0.1589432622284412,0.4272111701027269,True
none,34,trend_peese,0.045,0.1584323722056057,0.09589784718475318,0.22096689722645818,True
none,34,adaptshrink,0.045,0.046071119007359634,0.030631823870904924,0.06151041414381435,True
none,35,two_stage_reml,0.045,0.04859773192113017,0.03584873435241063,0.06134672948984971,True
none,35,two_stage_fixed,0.045,0.049047131175140805,0.03894819394908132,0.05914606840120029,True
none,35,one_stage,0.045,0.049047131175140805,0.03894819394908132,0.05914606840120029,True
none,35,trend_pet,0.045,0.16053131082525987,-0.007732834690173246,0.32879545634069296,True
none,35,trend_peese,0.045,0.10378824148356826,0.01965356850600819,0.18792291446112833,True
none,35,adaptshrink,0.045,0.04894019565916321,0.035238298502473134,0.06264209281585328,True
none,36,two_stage_reml,0.045,0.04485975529628181,0.03437841242243696,0.05534109817012667,True
none,36,two_stage_fixed,0.045,0.04497514666396015,0.03492538971886833,0.055024903609051976,True
none,36,one_stage,0.045,0.04497514666396015,0.03492538971886833,0.055024903609051976,True
none,36,trend_pet,0.045,0.1407005639738724,0.034210884433706,0.2471902435140388,True
none,36,trend_peese,0.045,0.09226879794930302,0.03935472837860403,0.14518286752000203,True
none,36,adaptshrink,0.045,0.04493881979500023,0.03202453079070011,0.05785310879930035,True
none,37,two_stage_reml,0.045,0.04884760340057575,0.033854081949026164,0.06384112485212534,True
none,37,two_stage_fixed,0.045,0.05198405821927402,0.041669699259804176,0.06229841717874387,True
none,37,one_stage,0.045,0.05198405821927402,0.041669699259804176,0.06229841717874387,True
none,37,trend_pet,0.045,0.1863599308337705,0.11123406818828929,0.2614857934792517,True
none,37,trend_peese,0.045,0.11751841660954175,0.07637513364962589,0.1586616995694576,True
none,37,adaptshrink,0.045,0.051455728513284796,0.036174690028631905,0.06673676699793768,True
none,38,two_stage_reml,0.045,0.038944357694679466,0.02304587616662726,0.05484283922273167,True
none,38,two_stage_fixed,0.045,0.04027175817933657,0.029782351060945962,0.05076116529772718,True
none,38,one_stage,0.045,0.04027175817933657,0.029782351060945962,0.05076116529772718,True
none,38,trend_pet,0.045,0.18228570216053208,0.02298583608240548,0.3415855682386587,True
none,38,trend_peese,0.045,0.11088187928568496,0.031820655139186374,0.18994310343218357,True
none,38,adaptshrink,0.045,0.04003959174454344,0.02512440146173493,0.05495478202735195,True
none,39,two_stage_reml,0.045,0.04975585976008628,0.03403854250528188,0.06547317701489068,True
none,39,two_stage_fixed,0.045,0.05115660193555578,0.04074263817327747,0.06157056569783409,True
none,39,one_stage,0.045,0.05115660193555578,0.04074263817327747,0.06157056569783409,True
none,39,trend_pet,0.045,0.251879417682763,0.0873613631588317,0.4163974722066943,True
none,39,trend_peese,0.045,0.15226860319285104,0.07345128527296477,0.23108592111273732,True
none,39,adaptshrink,0.045,0.05091062461551929,0.03609262982664907,0.06572861940438951,True
none,40,two_stage_reml,0.045,0.046162356911339346,0.03308735567464048,0.05923735814803821,True
none,40,two_stage_fixed,0.045,0.046096387521975646,0.03570207736439558,0.05649069767955571,True
none,40,one_stage,0.045,0.046096387521975646,0.03570207736439558,0.05649069767955571,True
none,40,trend_pet,0.045,0.023390470612941305,-0.1736460564243754,0.220426997650258,True
none,40,trend_peese,0.045,0.034318648409362815,-0.06197460396760983,0.13061190078633544,True
none,40,adaptshrink,0.045,0.04611222692120187,0.0320466297773362,0.06017782406506754,True
none,41,two_stage_reml,0.045,0.03590306844331796,0.017768098488527215,0.05403803839810871,True
none,41,two_stage_fixed,0.045,0.03700286666058128,0.026454850677936948,0.047550882643225614,True
none,41,one_stage,0.045,0.037002866660581286,0.026454850677936955,0.047550882643225614,True
none,41,trend_pet,0.045,0.13409229512332813,-0.0652349366578863,0.3334195269045426,True
none,41,trend_peese,0.045,0.08121232589352757,-0.018559162490450476,0.18098381427750562,True
none,41,adaptshrink,0.045,0.036845645233824796,0.02161226865363247,0.05207902181401712,True
none,42,two_stage_reml,0.045,0.05102152412935885,0.03824711726857699,0.0637959309901407,True
none,42,two_stage_fixed,0.045,0.05126015583268098,0.04076554332516864,0.06175476834019332,True
none,42,one_stage,0.045,0.051260155832680974,0.040765543325168636,0.06175476834019331,True
none,42,trend_pet,0.045,0.09492490997496371,-0.0419719045292868,0.23182172447921423,True
none,42,trend_peese,0.045,0.07286816405920905,0.004904073490802158,0.14083225462761595,True
none,42,adaptshrink,0.045,0.051200005568310655,0.03710657245777184,0.06529343867884947,True
none,43,two_stage_reml,0.045,0.042092157817884224,0.026048407073218448,0.05813590856255,True
none,43,two_stage_fixed,0.045,0.04284084141758145,0.03233570846070315,0.05334597437445976,True
none,43,one_stage,0.045,0.04284084141758145,0.03233570846070315,0.05334597437445976,True
none,43,trend_pet,0.045,0.10589371929259159,-0.059695154825321284,0.27148259341050446,True
none,43,trend_peese,0.045,0.07201709952496504,-0.013254391442329524,0.15728859049225963,True
none,43,adaptshrink,0.045,0.042709580688329585,0.027861019704743847,0.05755814167191532,True
none,44,two_stage_reml,0.045,0.04717408585512459,0.03348805820016079,0.06086011351008838,True
none,44,two_stage_fixed,0.045,0.04857735840077302,0.0383850935122048,0.05876962328934124,True
none,44,one_stage,0.045,0.04857735840077302,0.0383850935122048,0.05876962328934124,True
none,44,trend_pet,0.045,0.1834463701899975,0.08209496746757648,0.2847977729124185,True
none,44,trend_peese,0.045,0.1162766098589296,0.06671491408550251,0.1658383056323567,True
none,44,adaptshrink,0.045,0.048282039425349685,0.0340665502477254,0.06249752860297397,True
none,45,two_stage_reml,0.045,0.05427072713912557,0.042278804351793854,0.06626264992645729,True
