study_id,yi,sei,rob_selection,rob_measurement,rob_reporting,quality_score,moderator,design,true_effect,internal_bias,selection_probability,selected
study_22,0.3383799737233074,0.11026941458207762,0.0,0.0,0.0,0.0,0.829519042024073,OBS,0.354038585044798,0.0,0.7611331436505206,1
study_25,0.29938123863784516,0.18232519450253953,0.0,0.0,0.0,0.0,-1.4821853974428207,OBS,0.26940867174309935,0.0,0.269967416526856,1
study_26,0.3025863081706418,0.08308858033483449,1.0,0.0,0.0,0.3333333333333333,-2.3336161198483047,OBS,0.21502940340343923,0.12,0.8531005572924818,1
study_27,0.3800665069808266,0.1293425706335958,1.0,1.0,0.0,0.6666666666666666,-0.6782644401551767,OBS,-0.06893593027596576,0.21,0.8234833433142063,1
study_28,0.3470389581443526,0.0574466401838289,1.0,0.0,0.0,0.3333333333333333,0.7494338997277404,RCT,0.23704459651307982,0.12,0.9134920990444074,1
study_29,0.42955810402916494,0.07622921365148314,0.0,0.0,1.0,0.3333333333333333,-0.28488406638257474,RCT,0.23241634297447325,0.07,0.867710700753415,1
study_30,0.1606065668440485,0.1661183220512173,1.0,0.0,1.0,0.6666666666666666,0.19779008194185213,RCT,0.15395811953923527,0.19,0.33661897328413626,1
study_32,0.33194868517618065,0.2144766545138157,1.0,0.0,0.0,0.3333333333333333,1.3276861322676916,RCT,0.14344478514740763,0.12,0.28398540403984207,1
study_33,0.39323159033428223,0.10539031088348583,0.0,1.0,1.0,0.6666666666666666,-0.06913793472613955,RCT,0.32482074995918947,0.16,0.8511041296301456,1
study_34,0.6604854603453054,0.1129781500259277,1.0,1.0,1.0,1.0,1.3535858895693973,RCT,0.3604435754918365,0.28,0.8744126247151554,1
study_35,0.32462462328761343,0.12982448791688733,0.0,0.0,0.0,0.0,0.09212665843410921,RCT,0.167209986206371,0.0,0.7172954652302869,1
study_36,0.3682190491693043,0.08221013104432856,1.0,0.0,0.0,0.3333333333333333,-0.8373982238274621,RCT,0.27483800760977223,0.12,0.8550193402203103,1
study_37,0.12740630287180002,0.07208665590703017,1.0,0.0,1.0,0.6666666666666666,-0.5944003521987352,OBS,0.05937423217004795,0.19,0.6666259482323184,1
study_41,0.5511166181949128,0.12431582620829622,1.0,1.0,0.0,0.6666666666666666,0.8035850193786016,OBS,0.3512592691918108,0.21,0.8297441610998628,1
study_44,0.21448996521417052,0.10310232903494698,0.0,0.0,0.0,0.0,0.39282746825991893,RCT,0.16478775172098215,0.0,0.6385699903405377,1
study_47,0.37921837347297394,0.11587132443512965,1.0,0.0,0.0,0.3333333333333333,-0.1310866506877266,OBS,0.16827745547617595,0.12,0.7989095876102427,1
study_49,0.36503229578328844,0.1660242356757458,0.0,1.0,0.0,0.3333333333333333,0.9282969915684843,RCT,0.3935528178121033,0.09,0.6676710663101134,1
study_52,0.3319236725710289,0.05125158585767094,0.0,1.0,1.0,0.6666666666666666,-1.06975241128969,RCT,0.15401889914444222,0.16,0.9456952431675374,1
study_54,0.5263459136421076,0.16302464562064545,0.0,1.0,1.0,0.6666666666666666,0.4278904406949172,RCT,0.29784481624113907,0.16,0.7971667806317236,1
study_57,0.4266506074013365,0.1280156818415178,0.0,0.0,0.0,0.0,0.3619218539288437,OBS,0.3220904878499302,0.0,0.7354326219379942,1
study_58,0.3442525443481657,0.14668600331199194,1.0,0.0,0.0,0.3333333333333333,1.320661655528167,RCT,0.1325612944476019,0.12,0.7299488599749118,1
study_59,0.7424289114047852,0.07376548968170177,0.0,1.0,1.0,0.6666666666666666,-0.3427861508643793,RCT,0.4900948032011412,0.16,0.8999149595734575,1
study_60,0.13927090077253246,0.06947011250111548,0.0,0.0,0.0,0.0,-1.4768578168457318,OBS,0.1754872625796745,0.0,0.70610800147529,1
study_61,0.21984237663653616,0.16362850350438018,0.0,1.0,0.0,0.3333333333333333,1.067222416571983,RCT,0.20108744984898064,0.09,0.29377646457266915,1
study_62,0.3310210985073235,0.13008635504433252,0.0,1.0,0.0,0.3333333333333333,-0.3314881720972547,OBS,0.3033458837014449,0.09,0.7708982877262245,1
study_63,0.4800002245824575,0.1460901381018021,0.0,0.0,0.0,0.0,1.114592444577377,OBS,0.3644718919242762,0.0,0.7139726510498394,1
study_64,0.537131289442631,0.18004980576072432,0.0,0.0,0.0,0.0,0.3833771131824704,RCT,0.2673492625103704,0.0,0.6827920365470797,1
study_67,0.5013474134078825,0.14506521732672029,1.0,1.0,0.0,0.6666666666666666,1.9510125601262995,OBS,0.24578573266983705,0.21,0.8106756101016094,1
study_68,0.3261445603531095,0.10167151667064407,0.0,0.0,0.0,0.0,2.076980529053753,OBS,0.3511315047986737,0.0,0.776614007557527,1
study_71,0.30626634059170144,0.08647939437931997,1.0,0.0,1.0,0.6666666666666666,1.0762401574663856,RCT,0.18775929237940175,0.19,0.8779462571527584,1
study_72,0.1585598680620494,0.11944986943318814,0.0,1.0,1.0,0.6666666666666666,-0.8456610327673472,RCT,0.09201939699613784,0.16,0.40988919056067497,1
study_74,0.2420501300970127,0.08976971259710792,0.0,1.0,0.0,0.3333333333333333,-0.0258628479538564,RCT,0.2385556762955244,0.09,0.8364641287919145,1
study_75,0.19547075763335175,0.05991146608714122,0.0,0.0,1.0,0.3333333333333333,0.3139082114575536,RCT,0.18029910223229484,0.07,0.9067217626364382,1
study_77,0.29825824858594113,0.09991093882033622,0.0,0.0,0.0,0.0,-1.589567493308969,OBS,0.18706078147515157,0.0,0.7792362802717747,1
study_78,0.12504550497174674,0.16252580750357215,0.0,0.0,0.0,0.0,-2.0729834359912918,RCT,0.16487418519386687,0.0,0.22968166556680086,1
